,Absolute Magnetisations Per Spin
0,0.875
1,0.96875
2,0.9375
3,1.0
4,1.0
5,1.0
6,0.9375
7,1.0
8,0.90625
9,0.9375
10,1.0
11,1.0
12,0.96875
13,1.0
14,0.90625
15,0.90625
16,0.71875
17,0.6875
18,0.625
19,0.75
20,0.6875
21,0.71875
22,0.75
23,0.875
24,0.9375
25,0.96875
26,1.0
27,1.0
28,0.96875
29,0.9375
30,0.9375
31,0.90625
32,0.96875
33,0.96875
34,0.90625
35,0.8125
36,0.9375
37,0.9375
38,0.96875
39,0.96875
40,0.90625
41,0.90625
42,0.9375
43,0.9375
44,1.0
45,1.0
46,0.9375
47,1.0
48,0.96875
49,0.96875
50,1.0
51,1.0
52,1.0
53,0.96875
54,0.9375
55,0.96875
56,0.96875
57,0.9375
58,0.96875
59,1.0
60,0.96875
61,0.96875
62,0.96875
63,1.0
64,0.96875
65,0.96875
66,0.96875
67,0.90625
68,0.875
69,0.96875
70,1.0
71,1.0
72,0.96875
73,0.96875
74,0.96875
75,1.0
76,1.0
77,1.0
78,1.0
79,0.96875
80,0.96875
81,0.90625
82,0.96875
83,0.96875
84,0.96875
85,0.90625
86,0.9375
87,0.96875
88,0.9375
89,0.96875
90,0.96875
91,0.96875
92,1.0
93,1.0
94,1.0
95,0.875
96,0.90625
97,0.96875
98,0.90625
99,0.96875
100,0.90625
101,0.96875
102,1.0
103,1.0
104,0.96875
105,0.9375
106,0.90625
107,0.90625
108,1.0
109,1.0
110,1.0
111,1.0
112,0.96875
113,0.96875
114,0.90625
115,0.90625
116,0.90625
117,0.9375
118,0.96875
119,0.9375
120,0.96875
121,0.9375
122,0.875
123,0.90625
124,0.84375
125,0.84375
126,0.8125
127,0.84375
128,0.96875
129,1.0
130,0.96875
131,0.9375
132,1.0
133,0.96875
134,1.0
135,1.0
136,1.0
137,1.0
138,0.96875
139,0.96875
140,1.0
141,1.0
142,1.0
143,1.0
144,0.96875
145,0.9375
146,0.90625
147,0.9375
148,0.9375
149,0.9375
150,0.875
151,0.90625
152,0.875
153,0.96875
154,1.0
155,0.875
156,0.9375
157,0.9375
158,0.96875
159,0.9375
160,0.9375
161,1.0
162,0.96875
163,0.96875
164,0.9375
165,1.0
166,0.96875
167,0.96875
168,0.96875
169,0.96875
170,0.90625
171,0.90625
172,0.84375
173,0.84375
174,0.78125
175,0.84375
176,0.84375
177,0.9375
178,0.96875
179,0.96875
180,0.9375
181,0.9375
182,0.9375
183,1.0
184,1.0
185,0.96875
186,0.96875
187,1.0
188,0.96875
189,0.96875
190,1.0
191,1.0
192,1.0
193,0.9375
194,0.96875
195,1.0
196,1.0
197,0.96875
198,0.96875
199,0.96875
200,0.8125
201,0.8125
202,0.75
203,0.78125
204,0.875
205,0.96875
206,1.0
207,0.96875
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,0.96875
219,0.96875
220,0.9375
221,1.0
222,0.96875
223,1.0
224,1.0
225,1.0
226,0.9375
227,0.9375
228,0.96875
229,0.96875
230,0.96875
231,1.0
232,0.90625
233,0.84375
234,0.875
235,1.0
236,0.96875
237,0.875
238,0.96875
239,1.0
240,1.0
241,1.0
242,1.0
243,0.96875
244,0.9375
245,0.9375
246,0.9375
247,1.0
248,1.0
249,1.0
250,0.96875
251,1.0
252,0.90625
253,0.875
254,1.0
255,0.96875
256,0.96875
257,1.0
258,1.0
259,1.0
260,0.96875
261,0.96875
262,1.0
263,0.96875
264,0.90625
265,0.90625
266,0.96875
267,1.0
268,1.0
269,0.96875
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,1.0
279,0.96875
280,0.90625
281,0.84375
282,0.84375
283,0.78125
284,0.9375
285,0.9375
286,0.96875
287,0.90625
288,0.9375
289,0.9375
290,0.96875
291,0.96875
292,0.8125
293,0.84375
294,0.875
295,0.9375
296,1.0
297,0.90625
298,0.8125
299,0.8125
300,0.875
301,0.96875
302,0.8125
303,0.84375
304,0.84375
305,0.84375
306,0.78125
307,0.84375
308,0.875
309,0.9375
310,0.9375
311,0.875
312,0.90625
313,0.90625
314,0.9375
315,0.96875
316,1.0
317,1.0
318,0.96875
319,0.96875
320,0.9375
321,0.96875
322,0.96875
323,1.0
324,0.96875
325,0.96875
326,1.0
327,0.9375
328,1.0
329,0.9375
330,0.84375
331,0.96875
332,0.96875
333,0.9375
334,0.90625
335,1.0
336,0.96875
337,0.90625
338,0.96875
339,0.9375
340,1.0
341,0.9375
342,0.96875
343,0.9375
344,0.96875
345,0.9375
346,0.96875
347,0.9375
348,0.9375
349,0.8125
350,0.8125
351,0.84375
352,0.8125
353,0.78125
354,0.71875
355,0.78125
356,0.8125
357,0.84375
358,1.0
359,1.0
360,0.96875
361,0.96875
362,0.9375
363,0.90625
364,0.90625
365,0.8125
366,0.8125
367,0.875
368,0.9375
369,0.96875
370,1.0
371,0.9375
372,1.0
373,1.0
374,1.0
375,1.0
376,0.96875
377,1.0
378,0.96875
379,0.96875
380,1.0
381,1.0
382,0.96875
383,1.0
384,1.0
385,0.96875
386,1.0
387,0.96875
388,0.9375
389,0.90625
390,0.84375
391,0.9375
392,1.0
393,1.0
394,0.90625
395,0.8125
396,0.84375
397,0.90625
398,0.875
399,1.0
400,1.0
401,1.0
402,1.0
403,0.96875
404,0.9375
405,0.96875
406,0.96875
407,0.90625
408,1.0
409,0.96875
410,1.0
411,1.0
412,0.96875
413,0.96875
414,0.96875
415,1.0
416,1.0
417,1.0
418,1.0
419,0.96875
420,0.96875
421,0.96875
422,0.9375
423,0.96875
424,0.96875
425,0.9375
426,1.0
427,1.0
428,1.0
429,1.0
430,1.0
431,1.0
432,1.0
433,1.0
434,0.9375
435,0.96875
436,0.90625
437,0.875
438,0.84375
439,0.96875
440,1.0
441,1.0
442,1.0
443,1.0
444,1.0
445,0.96875
446,0.9375
447,1.0
448,1.0
449,1.0
450,1.0
451,1.0
452,0.96875
453,0.96875
454,0.96875
455,1.0
456,0.96875
457,0.9375
458,0.90625
459,0.90625
460,0.90625
461,0.96875
462,0.96875
463,0.90625
464,0.90625
465,0.96875
466,0.9375
467,0.96875
468,1.0
469,1.0
470,0.96875
471,1.0
472,1.0
473,0.96875
474,1.0
475,1.0
476,0.8125
477,0.875
478,1.0
479,0.96875
480,0.9375
481,0.90625
482,0.84375
483,0.875
484,0.90625
485,0.84375
486,0.90625
487,0.90625
488,0.96875
489,0.96875
490,0.96875
491,0.90625
492,0.96875
493,0.9375
494,0.96875
495,0.9375
496,0.90625
497,0.84375
498,0.8125
499,0.875
500,0.96875
501,0.9375
502,1.0
503,1.0
504,1.0
505,0.96875
506,0.96875
507,0.96875
508,0.96875
509,1.0
510,1.0
511,0.96875
512,0.96875
513,1.0
514,1.0
515,1.0
516,1.0
517,0.96875
518,1.0
519,0.90625
520,0.9375
521,0.9375
522,1.0
523,1.0
524,0.96875
525,1.0
526,1.0
527,1.0
528,0.96875
529,0.875
530,0.90625
531,0.96875
532,0.9375
533,0.90625
534,0.9375
535,0.96875
536,0.96875
537,1.0
538,1.0
539,0.96875
540,0.9375
541,0.90625
542,0.875
543,0.84375
544,0.90625
545,0.84375
546,0.8125
547,0.84375
548,0.875
549,0.875
550,0.96875
551,0.9375
552,0.875
553,0.875
554,0.875
555,0.8125
556,0.875
557,0.875
558,0.875
559,0.90625
560,1.0
561,1.0
562,1.0
563,1.0
564,0.96875
565,0.8125
566,0.90625
567,0.9375
568,0.90625
569,0.875
570,0.90625
571,0.9375
572,0.9375
573,0.9375
574,0.96875
575,0.96875
576,0.96875
577,0.9375
578,0.90625
579,0.90625
580,0.8125
581,0.78125
582,0.84375
583,0.96875
584,1.0
585,1.0
586,1.0
587,1.0
588,0.8125
589,0.875
590,1.0
591,1.0
592,1.0
593,1.0
594,0.96875
595,0.96875
596,0.96875
597,0.96875
598,0.9375
599,0.96875
600,1.0
601,1.0
602,1.0
603,1.0
604,1.0
605,1.0
606,1.0
607,1.0
608,1.0
609,0.96875
610,1.0
611,0.96875
612,0.9375
613,0.96875
614,0.96875
615,0.90625
616,0.9375
617,0.9375
618,0.96875
619,0.96875
620,0.9375
621,1.0
622,1.0
623,1.0
624,0.90625
625,0.96875
626,0.96875
627,0.96875
628,1.0
629,0.96875
630,1.0
631,1.0
632,0.96875
633,0.96875
634,1.0
635,0.96875
636,1.0
637,0.96875
638,0.9375
639,0.875
640,0.9375
641,0.9375
642,0.96875
643,1.0
644,0.9375
645,1.0
646,1.0
647,0.96875
648,1.0
649,1.0
650,1.0
651,1.0
652,1.0
653,0.96875
654,1.0
655,1.0
656,1.0
657,1.0
658,1.0
659,1.0
660,0.90625
661,1.0
662,1.0
663,1.0
664,1.0
665,1.0
666,0.90625
667,1.0
668,1.0
669,0.9375
670,0.9375
671,0.96875
672,0.96875
673,0.9375
674,1.0
675,1.0
676,0.96875
677,0.96875
678,1.0
679,1.0
680,0.96875
681,1.0
682,1.0
683,1.0
684,1.0
685,1.0
686,1.0
687,1.0
688,1.0
689,0.96875
690,0.875
691,0.9375
692,0.9375
693,0.9375
694,1.0
695,1.0
696,0.90625
697,0.75
698,0.78125
699,0.84375
700,0.90625
701,0.875
702,0.9375
703,0.84375
704,0.71875
705,0.6875
706,0.84375
707,0.90625
708,0.875
709,0.90625
710,0.96875
711,0.9375
712,0.96875
713,0.875
714,0.9375
715,0.875
716,0.96875
