,Absolute Magnetisations Per Spin
0,0.78125
1,0.59375
2,0.625
3,0.6875
4,0.625
5,0.65625
6,0.65625
7,0.65625
8,0.71875
9,0.84375
10,0.65625
11,0.59375
12,0.59375
13,0.71875
14,0.4375
15,0.40625
16,0.53125
17,0.53125
18,0.1875
19,0.09375
20,0.15625
21,0.3125
22,0.21875
23,0.21875
24,0.0625
25,0.25
26,0.46875
27,0.625
28,0.625
29,0.40625
30,0.40625
31,0.59375
32,0.6875
33,0.71875
34,0.75
35,0.8125
36,0.875
37,0.71875
38,0.875
39,0.84375
40,0.78125
41,0.4375
42,0.21875
43,0.28125
44,0.40625
45,0.40625
46,0.625
47,0.28125
48,0.40625
49,0.4375
50,0.28125
51,0.03125
52,0.0
53,0.25
54,0.1875
55,0.34375
56,0.28125
57,0.28125
58,0.375
59,0.53125
60,0.34375
61,0.0625
62,0.125
63,0.375
64,0.625
65,0.59375
66,0.625
67,0.5
68,0.375
69,0.40625
70,0.4375
71,0.5625
72,0.40625
73,0.375
74,0.21875
75,0.15625
76,0.1875
77,0.15625
78,0.25
79,0.375
80,0.53125
81,0.625
82,0.34375
83,0.125
84,0.09375
85,0.0
86,0.03125
87,0.375
88,0.6875
89,0.71875
90,0.84375
91,0.90625
92,0.8125
93,0.75
94,0.65625
95,0.5625
96,0.53125
97,0.65625
98,0.59375
99,0.53125
100,0.65625
101,0.65625
102,0.21875
103,0.125
104,0.1875
105,0.21875
106,0.28125
107,0.34375
108,0.25
109,0.1875
110,0.5625
111,0.40625
112,0.5
113,0.59375
114,0.78125
115,0.8125
116,0.75
117,0.28125
118,0.28125
119,0.5
120,0.25
121,0.125
122,0.09375
123,0.21875
124,0.125
125,0.03125
126,0.0
127,0.40625
128,0.21875
129,0.3125
130,0.15625
131,0.09375
132,0.375
133,0.21875
134,0.03125
135,0.09375
136,0.21875
137,0.28125
138,0.125
139,0.09375
140,0.4375
141,0.5625
142,0.4375
143,0.65625
144,0.53125
145,0.34375
146,0.71875
147,0.625
148,0.8125
149,0.75
150,0.6875
151,0.6875
152,0.8125
153,0.78125
154,0.65625
155,0.5625
156,0.4375
157,0.53125
158,0.59375
159,0.40625
160,0.21875
161,0.3125
162,0.25
163,0.46875
164,0.46875
165,0.65625
166,0.6875
167,0.625
168,0.5625
169,0.71875
170,0.75
171,0.6875
172,0.6875
173,0.59375
174,0.75
175,0.78125
176,0.59375
177,0.4375
178,0.5
179,0.40625
180,0.34375
181,0.4375
182,0.09375
183,0.09375
184,0.125
185,0.09375
186,0.3125
187,0.46875
188,0.65625
189,0.46875
190,0.46875
191,0.0625
192,0.375
193,0.375
194,0.4375
195,0.34375
196,0.09375
197,0.46875
198,0.125
199,0.125
200,0.3125
201,0.09375
202,0.25
203,0.375
204,0.21875
205,0.125
206,0.09375
207,0.09375
208,0.46875
209,0.5
210,0.5625
211,0.4375
212,0.28125
213,0.3125
214,0.53125
215,0.34375
216,0.28125
217,0.40625
218,0.34375
219,0.15625
220,0.25
221,0.34375
222,0.34375
223,0.1875
224,0.15625
225,0.09375
226,0.0625
227,0.21875
228,0.21875
229,0.3125
230,0.03125
231,0.53125
232,0.125
233,0.28125
234,0.28125
235,0.28125
