,Absolute Magnetisations Per Spin
0,1.0
1,0.96875
2,0.84375
3,0.84375
4,0.59375
5,0.5625
6,0.53125
7,0.53125
8,0.5625
9,0.84375
10,0.65625
11,0.4375
12,0.3125
13,0.25
14,0.375
15,0.4375
16,0.53125
17,0.65625
18,0.5625
19,0.59375
20,0.59375
21,0.65625
22,0.59375
23,0.53125
24,0.78125
25,0.90625
26,0.8125
27,0.84375
28,0.9375
29,0.84375
30,0.71875
31,0.8125
32,0.9375
33,0.875
34,0.875
35,0.71875
36,0.875
37,0.90625
38,0.875
39,0.96875
40,0.9375
41,0.84375
42,0.90625
43,0.875
44,0.9375
45,0.9375
46,1.0
47,1.0
48,0.96875
49,0.90625
50,0.84375
51,0.65625
52,0.625
53,0.78125
54,0.625
55,0.75
56,0.6875
57,0.5
58,0.78125
59,0.96875
60,0.875
61,0.78125
62,0.78125
63,0.90625
64,0.96875
65,0.90625
66,0.8125
67,0.75
68,0.75
69,0.84375
70,0.78125
71,0.71875
72,0.6875
73,0.59375
74,0.78125
75,0.6875
76,0.375
77,0.4375
78,0.40625
79,0.53125
80,0.5625
81,0.46875
82,0.625
83,0.6875
84,0.75
85,0.875
86,0.8125
87,0.875
88,0.84375
89,0.75
90,0.84375
91,0.90625
92,0.9375
93,0.90625
94,0.78125
95,0.84375
96,0.71875
97,0.6875
98,0.78125
99,0.875
100,0.90625
101,0.84375
102,0.84375
103,0.75
104,0.8125
105,0.96875
106,0.9375
107,0.9375
108,0.875
109,0.8125
110,0.8125
111,0.71875
112,0.71875
113,0.8125
114,0.84375
115,0.90625
116,0.8125
117,0.6875
118,0.5625
119,0.625
120,0.53125
121,0.4375
122,0.375
123,0.46875
124,0.5
125,0.5
126,0.59375
127,0.4375
128,0.59375
129,0.4375
130,0.34375
131,0.21875
132,0.09375
133,0.1875
134,0.0
135,0.09375
136,0.3125
137,0.375
138,0.4375
139,0.4375
140,0.0625
141,0.125
142,0.28125
143,0.46875
144,0.625
145,0.71875
146,0.875
147,0.90625
148,0.875
149,0.9375
150,0.90625
151,0.875
152,0.90625
153,0.6875
154,0.75
155,0.84375
156,0.875
157,0.75
158,0.875
159,0.75
160,0.6875
161,0.75
162,0.875
163,0.9375
164,0.96875
165,0.90625
166,0.875
167,0.84375
168,0.90625
169,0.96875
170,0.96875
171,0.8125
172,0.625
173,0.78125
174,0.78125
175,0.8125
176,0.59375
177,0.5
178,0.375
179,0.40625
180,0.5625
181,0.5
182,0.65625
183,0.6875
184,0.59375
185,0.3125
186,0.15625
187,0.21875
188,0.09375
189,0.03125
190,0.0
191,0.125
192,0.34375
193,0.03125
194,0.0
195,0.09375
196,0.03125
197,0.15625
198,0.0625
199,0.03125
200,0.0625
201,0.0625
202,0.15625
203,0.03125
204,0.09375
205,0.09375
206,0.0
207,0.0625
208,0.0625
209,0.1875
210,0.1875
211,0.28125
212,0.1875
213,0.0625
214,0.09375
215,0.0625
216,0.1875
217,0.21875
218,0.125
219,0.25
220,0.09375
221,0.25
222,0.5625
223,0.59375
224,0.375
225,0.34375
226,0.5
227,0.65625
228,0.625
229,0.53125
230,0.5625
231,0.59375
232,0.5
233,0.4375
234,0.71875
235,0.71875
236,0.8125
237,0.59375
238,0.25
239,0.0
240,0.09375
241,0.0625
242,0.03125
243,0.34375
244,0.59375
245,0.65625
246,0.6875
247,0.75
248,0.65625
249,0.875
250,0.875
251,0.78125
252,0.875
253,0.90625
254,0.9375
255,0.96875
256,0.96875
257,0.9375
258,0.78125
259,0.65625
260,0.59375
261,0.59375
262,0.71875
263,0.625
264,0.3125
265,0.21875
266,0.1875
267,0.0
268,0.0625
269,0.09375
270,0.03125
271,0.15625
272,0.09375
273,0.28125
274,0.59375
275,0.65625
276,0.71875
277,0.59375
278,0.59375
279,0.59375
280,0.71875
281,0.8125
282,0.71875
283,0.6875
284,0.8125
285,0.875
286,0.875
287,0.8125
288,0.8125
289,0.96875
290,0.875
291,0.90625
292,0.84375
293,0.875
294,0.90625
295,0.90625
296,0.8125
297,0.84375
298,0.84375
299,0.84375
300,0.78125
301,0.75
302,0.625
303,0.6875
304,0.78125
305,0.75
306,0.6875
307,0.75
308,0.59375
309,0.78125
310,0.65625
311,0.46875
312,0.53125
313,0.53125
314,0.46875
315,0.25
316,0.1875
317,0.25
318,0.125
319,0.03125
320,0.09375
321,0.1875
322,0.28125
323,0.09375
324,0.125
325,0.1875
326,0.15625
327,0.25
328,0.34375
329,0.40625
330,0.46875
331,0.4375
332,0.5625
333,0.5625
334,0.21875
335,0.40625
336,0.40625
337,0.375
338,0.625
339,0.8125
