,Absolute Magnetisations Per Spin
0,0.46875
1,0.1875
2,0.0625
3,0.1875
4,0.09375
5,0.125
6,0.125
7,0.03125
8,0.21875
9,0.15625
10,0.15625
11,0.0625
12,0.21875
13,0.0625
14,0.03125
15,0.25
16,0.28125
17,0.40625
18,0.1875
19,0.25
20,0.21875
21,0.1875
22,0.125
23,0.15625
24,0.125
25,0.53125
26,0.5625
27,0.5
28,0.4375
29,0.34375
30,0.34375
31,0.28125
32,0.09375
33,0.15625
34,0.125
35,0.03125
36,0.0
37,0.15625
38,0.15625
39,0.09375
40,0.15625
41,0.03125
42,0.0625
43,0.0625
44,0.34375
45,0.5
46,0.1875
47,0.15625
48,0.28125
49,0.46875
50,0.5625
51,0.65625
52,0.625
53,0.40625
54,0.46875
55,0.53125
56,0.3125
57,0.3125
58,0.25
59,0.3125
60,0.375
61,0.4375
62,0.3125
63,0.25
64,0.40625
65,0.0625
66,0.0625
67,0.1875
68,0.375
69,0.375
70,0.03125
71,0.15625
72,0.1875
73,0.21875
74,0.125
75,0.03125
76,0.25
77,0.3125
78,0.0625
79,0.21875
80,0.25
81,0.09375
82,0.0625
83,0.21875
84,0.1875
85,0.09375
86,0.1875
87,0.0
88,0.0625
89,0.15625
90,0.03125
91,0.0625
92,0.21875
93,0.125
94,0.15625
95,0.09375
96,0.125
97,0.1875
98,0.0
99,0.03125
100,0.21875
101,0.28125
102,0.375
103,0.25
104,0.4375
105,0.4375
106,0.3125
107,0.125
108,0.125
109,0.09375
110,0.375
111,0.375
112,0.09375
113,0.0625
114,0.0625
115,0.3125
116,0.1875
117,0.25
118,0.09375
119,0.21875
120,0.3125
121,0.0625
122,0.03125
123,0.15625
124,0.0
125,0.125
126,0.375
127,0.3125
128,0.0625
129,0.125
130,0.15625
131,0.3125
132,0.34375
133,0.03125
134,0.15625
135,0.15625
136,0.15625
137,0.21875
138,0.15625
139,0.0625
140,0.125
141,0.1875
142,0.4375
143,0.46875
144,0.53125
145,0.1875
146,0.3125
147,0.21875
148,0.3125
149,0.125
150,0.0625
151,0.0625
152,0.0
153,0.125
154,0.09375
155,0.09375
156,0.09375
157,0.1875
158,0.15625
159,0.03125
160,0.0625
161,0.125
162,0.1875
163,0.1875
164,0.28125
165,0.3125
166,0.375
167,0.25
168,0.40625
169,0.15625
170,0.0
171,0.0625
172,0.46875
173,0.5625
174,0.34375
175,0.0625
176,0.03125
177,0.0
178,0.21875
179,0.46875
180,0.4375
181,0.4375
182,0.125
183,0.0625
184,0.09375
185,0.25
186,0.0
187,0.1875
188,0.34375
189,0.3125
190,0.375
191,0.125
192,0.40625
193,0.25
194,0.25
195,0.09375
196,0.1875
197,0.34375
198,0.4375
199,0.34375
200,0.34375
201,0.25
202,0.4375
203,0.40625
204,0.34375
205,0.125
206,0.21875
207,0.09375
208,0.15625
209,0.21875
210,0.1875
211,0.25
212,0.40625
213,0.03125
214,0.125
215,0.0625
