,Absolute Magnetisations Per Spin
0,0.625
1,0.5625
2,0.8125
3,0.65625
4,0.59375
5,0.34375
6,0.375
7,0.40625
8,0.21875
9,0.15625
10,0.09375
11,0.0
12,0.21875
13,0.0625
14,0.03125
15,0.15625
16,0.0
17,0.25
18,0.0
19,0.125
20,0.0
21,0.0
22,0.0625
23,0.0
24,0.0625
25,0.09375
26,0.1875
27,0.21875
28,0.0625
29,0.03125
30,0.09375
31,0.21875
32,0.0
33,0.09375
34,0.0625
35,0.15625
36,0.25
37,0.21875
38,0.15625
39,0.40625
40,0.28125
41,0.25
42,0.4375
43,0.4375
44,0.4375
45,0.5
46,0.53125
47,0.53125
48,0.53125
49,0.59375
50,0.46875
51,0.53125
52,0.625
53,0.5625
54,0.5625
55,0.375
56,0.125
57,0.0
58,0.0
59,0.0
60,0.21875
61,0.0
62,0.15625
63,0.1875
64,0.09375
65,0.15625
66,0.0
67,0.1875
68,0.15625
69,0.21875
70,0.0625
71,0.21875
72,0.25
73,0.0625
74,0.0625
75,0.03125
76,0.28125
77,0.1875
78,0.09375
79,0.15625
80,0.03125
81,0.25
82,0.0625
83,0.125
84,0.375
85,0.53125
86,0.5625
87,0.34375
88,0.375
89,0.40625
90,0.03125
91,0.21875
92,0.21875
93,0.03125
94,0.1875
95,0.125
96,0.375
97,0.21875
98,0.375
99,0.34375
100,0.1875
101,0.03125
102,0.09375
103,0.15625
104,0.09375
105,0.03125
106,0.125
107,0.125
108,0.40625
109,0.46875
110,0.71875
111,0.5625
112,0.625
113,0.59375
114,0.375
115,0.25
116,0.53125
117,0.3125
118,0.09375
119,0.03125
120,0.125
121,0.28125
122,0.40625
123,0.46875
124,0.40625
125,0.03125
126,0.3125
127,0.25
128,0.21875
129,0.28125
130,0.09375
131,0.15625
132,0.03125
133,0.1875
134,0.15625
135,0.03125
136,0.375
137,0.4375
138,0.3125
139,0.09375
140,0.15625
141,0.25
142,0.125
143,0.1875
144,0.09375
145,0.1875
146,0.34375
147,0.25
148,0.40625
149,0.53125
150,0.5625
151,0.625
152,0.6875
153,0.84375
154,0.65625
155,0.59375
156,0.46875
157,0.5
158,0.46875
159,0.53125
160,0.53125
161,0.25
162,0.0625
163,0.03125
164,0.21875
165,0.40625
166,0.3125
167,0.28125
168,0.25
169,0.1875
170,0.25
171,0.1875
172,0.1875
173,0.0625
174,0.03125
175,0.1875
176,0.15625
177,0.25
178,0.46875
179,0.375
180,0.4375
181,0.625
182,0.59375
183,0.4375
184,0.28125
185,0.25
186,0.1875
187,0.09375
188,0.0
189,0.25
190,0.4375
191,0.3125
192,0.0625
193,0.0
194,0.125
195,0.25
196,0.1875
197,0.34375
198,0.15625
199,0.15625
200,0.21875
201,0.03125
202,0.0
203,0.125
204,0.0625
205,0.0625
206,0.0625
207,0.15625
208,0.3125
209,0.3125
210,0.0
211,0.1875
212,0.34375
213,0.125
214,0.375
215,0.0625
216,0.09375
217,0.375
218,0.46875
219,0.3125
220,0.3125
221,0.21875
222,0.09375
223,0.0625
224,0.03125
225,0.0625
226,0.1875
227,0.28125
228,0.34375
229,0.34375
230,0.125
231,0.09375
232,0.0625
233,0.0
234,0.09375
235,0.21875
236,0.0
237,0.0625
238,0.03125
239,0.40625
240,0.3125
241,0.21875
242,0.21875
243,0.28125
244,0.21875
245,0.125
246,0.1875
247,0.03125
248,0.125
249,0.0625
250,0.40625
251,0.5
252,0.71875
253,0.84375
254,0.6875
255,0.6875
256,0.65625
257,0.34375
258,0.4375
259,0.5625
260,0.46875
261,0.65625
262,0.5
263,0.5
264,0.375
265,0.25
266,0.375
267,0.1875
268,0.125
269,0.0625
270,0.21875
271,0.09375
272,0.21875
273,0.34375
274,0.46875
275,0.125
276,0.21875
277,0.4375
278,0.28125
279,0.4375
280,0.625
281,0.65625
282,0.65625
283,0.5625
284,0.5
285,0.15625
286,0.0625
287,0.125
288,0.15625
289,0.15625
290,0.0625
291,0.03125
292,0.09375
293,0.0
294,0.3125
295,0.5625
296,0.5
297,0.5
298,0.34375
299,0.4375
300,0.34375
301,0.3125
302,0.28125
303,0.21875
304,0.21875
305,0.1875
306,0.40625
307,0.6875
308,0.5625
309,0.5
310,0.46875
311,0.5625
312,0.375
313,0.03125
314,0.09375
315,0.21875
316,0.09375
317,0.15625
318,0.09375
319,0.0625
320,0.40625
321,0.15625
322,0.0625
323,0.3125
324,0.34375
325,0.40625
326,0.3125
327,0.21875
328,0.3125
329,0.125
330,0.0625
331,0.21875
332,0.25
333,0.0625
334,0.125
335,0.0
336,0.28125
337,0.34375
338,0.5625
339,0.59375
340,0.6875
341,0.65625
342,0.71875
343,0.4375
344,0.34375
345,0.03125
346,0.09375
347,0.25
348,0.21875
349,0.40625
350,0.53125
351,0.71875
352,0.625
353,0.40625
354,0.53125
355,0.53125
356,0.34375
357,0.46875
358,0.53125
359,0.4375
360,0.3125
361,0.15625
362,0.5625
363,0.53125
364,0.21875
365,0.28125
366,0.46875
367,0.5625
368,0.5
369,0.71875
370,0.71875
371,0.6875
372,0.59375
373,0.34375
374,0.5625
375,0.59375
376,0.1875
377,0.21875
378,0.21875
379,0.34375
380,0.09375
381,0.25
382,0.09375
383,0.125
384,0.28125
385,0.1875
386,0.15625
387,0.03125
388,0.34375
389,0.4375
390,0.0625
391,0.25
392,0.34375
393,0.46875
394,0.625
395,0.625
396,0.34375
397,0.21875
398,0.40625
399,0.28125
400,0.21875
401,0.0
402,0.1875
403,0.28125
404,0.375
405,0.3125
406,0.375
407,0.15625
408,0.21875
409,0.1875
410,0.125
411,0.25
412,0.15625
413,0.25
414,0.28125
415,0.21875
416,0.1875
417,0.15625
418,0.1875
419,0.03125
420,0.0
421,0.125
422,0.15625
423,0.0625
424,0.125
425,0.15625
426,0.09375
427,0.0625
428,0.0
429,0.1875
430,0.21875
431,0.125
432,0.34375
433,0.21875
434,0.5
435,0.46875
436,0.34375
437,0.34375
438,0.03125
439,0.03125
440,0.125
441,0.34375
442,0.25
443,0.34375
444,0.375
445,0.09375
446,0.03125
447,0.125
448,0.15625
449,0.03125
450,0.09375
451,0.09375
452,0.09375
453,0.0
454,0.34375
455,0.6875
456,0.75
457,0.6875
458,0.71875
459,0.6875
460,0.5
461,0.40625
462,0.59375
463,0.40625
464,0.59375
465,0.75
466,0.75
467,0.625
468,0.4375
469,0.40625
470,0.3125
471,0.03125
472,0.0
473,0.03125
474,0.03125
475,0.21875
476,0.40625
477,0.53125
478,0.59375
479,0.53125
480,0.625
481,0.71875
482,0.65625
483,0.6875
484,0.71875
485,0.875
486,0.625
487,0.34375
488,0.28125
489,0.4375
490,0.1875
491,0.25
492,0.34375
493,0.375
494,0.4375
495,0.28125
496,0.3125
497,0.125
498,0.125
499,0.34375
500,0.625
501,0.59375
502,0.75
503,0.78125
504,0.78125
505,0.71875
506,0.6875
507,0.625
508,0.4375
509,0.375
510,0.4375
511,0.40625
512,0.3125
513,0.25
514,0.0
515,0.0625
516,0.40625
517,0.5625
518,0.5
519,0.34375
520,0.1875
521,0.15625
522,0.0625
523,0.15625
524,0.09375
525,0.34375
526,0.15625
527,0.46875
528,0.46875
529,0.34375
530,0.1875
531,0.28125
532,0.15625
533,0.21875
534,0.21875
535,0.1875
536,0.21875
537,0.0625
538,0.0
539,0.15625
540,0.15625
541,0.15625
542,0.125
543,0.125
544,0.34375
545,0.09375
546,0.125
547,0.15625
548,0.09375
549,0.0625
550,0.0625
551,0.3125
552,0.125
553,0.34375
554,0.21875
555,0.03125
556,0.1875
557,0.125
558,0.0625
559,0.3125
560,0.46875
561,0.40625
562,0.3125
563,0.21875
564,0.0
565,0.25
566,0.28125
567,0.53125
568,0.4375
569,0.375
570,0.3125
571,0.1875
572,0.125
573,0.1875
574,0.46875
575,0.5
576,0.3125
577,0.28125
578,0.53125
579,0.53125
580,0.5625
581,0.4375
582,0.375
583,0.46875
584,0.375
585,0.375
586,0.15625
587,0.0625
588,0.375
589,0.3125
590,0.21875
591,0.125
592,0.28125
593,0.03125
594,0.09375
595,0.375
596,0.5625
597,0.3125
598,0.53125
599,0.6875
600,0.625
601,0.59375
602,0.3125
603,0.25
604,0.59375
605,0.46875
606,0.5
607,0.375
608,0.1875
609,0.21875
610,0.34375
611,0.09375
612,0.09375
613,0.34375
614,0.40625
615,0.3125
616,0.375
617,0.53125
618,0.59375
619,0.8125
620,0.71875
621,0.65625
622,0.5625
623,0.28125
624,0.5
625,0.25
626,0.0625
627,0.09375
628,0.03125
629,0.09375
630,0.0625
631,0.0625
632,0.0
633,0.0
634,0.15625
635,0.25
636,0.09375
637,0.0625
638,0.34375
639,0.3125
640,0.1875
641,0.375
642,0.53125
643,0.625
644,0.5
645,0.375
646,0.21875
647,0.0625
648,0.09375
649,0.03125
650,0.09375
651,0.1875
652,0.09375
653,0.5
654,0.5625
655,0.71875
656,0.65625
657,0.6875
658,0.8125
659,0.6875
660,0.46875
661,0.40625
662,0.40625
663,0.3125
664,0.28125
665,0.4375
666,0.6875
667,0.8125
668,0.65625
669,0.625
670,0.71875
671,0.71875
672,0.65625
673,0.34375
674,0.3125
675,0.1875
676,0.125
677,0.03125
678,0.21875
679,0.28125
680,0.40625
681,0.03125
682,0.21875
683,0.25
684,0.09375
685,0.21875
686,0.34375
687,0.0
688,0.28125
689,0.03125
690,0.09375
691,0.34375
692,0.3125
693,0.5
694,0.65625
695,0.5
696,0.46875
697,0.3125
698,0.21875
699,0.21875
700,0.1875
701,0.15625
702,0.125
703,0.3125
704,0.40625
705,0.40625
706,0.59375
707,0.59375
708,0.75
709,0.8125
710,0.78125
711,0.59375
712,0.6875
713,0.4375
714,0.375
715,0.125
716,0.0625
717,0.21875
718,0.34375
719,0.3125
720,0.40625
721,0.5625
722,0.40625
723,0.34375
724,0.40625
725,0.3125
726,0.46875
727,0.71875
728,0.5
729,0.3125
730,0.1875
731,0.09375
732,0.28125
733,0.15625
734,0.28125
735,0.15625
736,0.09375
737,0.125
738,0.25
739,0.15625
740,0.0625
741,0.375
742,0.40625
743,0.3125
744,0.28125
745,0.1875
746,0.0
747,0.125
748,0.25
749,0.3125
750,0.03125
751,0.1875
752,0.09375
753,0.1875
754,0.125
755,0.25
756,0.09375
757,0.25
758,0.25
759,0.28125
760,0.3125
761,0.3125
762,0.34375
763,0.25
764,0.15625
765,0.34375
766,0.46875
767,0.65625
768,0.40625
769,0.46875
770,0.53125
771,0.5625
772,0.4375
773,0.375
774,0.1875
775,0.03125
776,0.125
777,0.1875
778,0.1875
779,0.09375
780,0.21875
781,0.0625
782,0.25
783,0.1875
784,0.03125
785,0.0
786,0.1875
787,0.125
788,0.28125
789,0.5
790,0.59375
791,0.5
792,0.34375
793,0.28125
794,0.25
795,0.28125
796,0.28125
797,0.25
798,0.5
799,0.53125
800,0.25
801,0.09375
802,0.0625
803,0.5
804,0.5625
805,0.21875
806,0.375
807,0.09375
808,0.0
809,0.125
810,0.1875
811,0.28125
812,0.21875
813,0.15625
814,0.15625
815,0.40625
816,0.53125
817,0.59375
818,0.5625
819,0.46875
820,0.5
821,0.375
822,0.40625
823,0.34375
824,0.09375
825,0.15625
826,0.1875
827,0.34375
828,0.53125
829,0.6875
830,0.71875
831,0.71875
832,0.59375
833,0.59375
834,0.375
835,0.1875
836,0.09375
837,0.125
838,0.09375
839,0.1875
840,0.15625
841,0.15625
842,0.15625
843,0.09375
844,0.09375
845,0.25
846,0.09375
847,0.03125
848,0.0
849,0.0625
850,0.3125
851,0.34375
852,0.28125
853,0.28125
854,0.1875
855,0.46875
856,0.25
857,0.21875
858,0.1875
859,0.34375
860,0.53125
861,0.4375
862,0.46875
863,0.15625
864,0.09375
865,0.40625
866,0.46875
867,0.625
868,0.65625
869,0.6875
870,0.4375
871,0.59375
872,0.5
873,0.28125
874,0.28125
875,0.09375
876,0.03125
877,0.0625
878,0.125
879,0.09375
880,0.28125
881,0.15625
882,0.125
883,0.125
884,0.21875
885,0.375
886,0.75
887,0.65625
888,0.5625
889,0.6875
890,0.6875
891,0.5
892,0.5625
893,0.5625
894,0.5
895,0.75
896,0.78125
897,0.78125
898,0.8125
899,0.78125
900,0.84375
901,0.53125
902,0.59375
903,0.75
904,0.53125
905,0.40625
906,0.375
907,0.3125
908,0.28125
909,0.0625
910,0.1875
911,0.25
912,0.03125
913,0.09375
914,0.15625
