,Absolute Magnetisations Per Spin
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,0.96875
8,1.0
9,0.9375
10,0.96875
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,0.96875
28,1.0
29,1.0
30,1.0
31,0.96875
32,0.96875
33,0.96875
34,1.0
35,1.0
36,0.96875
37,1.0
38,0.96875
39,0.96875
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,0.96875
48,1.0
49,1.0
50,1.0
51,1.0
52,0.96875
53,0.96875
54,0.9375
55,0.96875
56,0.9375
57,0.9375
58,1.0
59,1.0
60,0.96875
61,0.96875
62,1.0
63,0.96875
64,0.96875
65,0.96875
66,0.96875
67,0.9375
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,0.90625
81,0.90625
82,0.96875
83,1.0
84,1.0
85,0.96875
86,0.9375
87,1.0
88,0.96875
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,0.96875
100,0.96875
101,0.96875
102,1.0
103,0.9375
104,0.96875
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,0.96875
112,0.96875
113,0.96875
114,0.9375
115,1.0
116,1.0
117,0.96875
118,0.96875
119,0.96875
120,0.90625
121,0.90625
122,0.9375
123,1.0
124,1.0
125,0.96875
126,0.9375
127,0.96875
128,0.96875
129,0.96875
130,0.96875
131,0.9375
132,1.0
133,1.0
134,0.96875
135,0.96875
136,1.0
137,1.0
138,1.0
139,0.9375
140,0.96875
141,0.96875
142,1.0
143,0.96875
144,1.0
145,1.0
146,1.0
147,1.0
148,0.96875
149,0.84375
150,0.9375
151,0.9375
152,0.9375
153,0.9375
154,0.96875
155,1.0
156,1.0
157,1.0
158,0.96875
159,0.9375
160,0.875
161,0.90625
162,1.0
163,1.0
164,1.0
165,1.0
166,0.9375
167,1.0
168,0.96875
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,0.96875
184,0.84375
185,0.96875
186,0.9375
187,0.9375
188,0.90625
189,0.875
190,0.90625
191,0.9375
192,1.0
193,1.0
