,Absolute Magnetisations Per Spin
0,0.90625
1,0.9375
2,0.96875
3,0.9375
4,0.90625
5,0.9375
6,0.84375
7,0.75
8,0.8125
9,0.90625
10,0.84375
11,0.75
12,0.96875
13,0.78125
14,0.8125
15,0.96875
16,0.84375
17,0.96875
18,0.875
19,0.75
20,0.84375
21,0.875
22,0.9375
23,0.875
24,0.96875
25,0.90625
26,0.875
27,0.75
28,0.03125
29,0.9375
30,0.90625
31,1.0
32,1.0
33,0.875
34,0.9375
35,0.9375
36,0.84375
37,0.9375
38,0.96875
39,0.65625
40,0.46875
41,0.96875
42,0.90625
43,0.125
44,0.3125
45,0.84375
46,0.78125
47,0.6875
48,0.875
49,0.9375
50,0.90625
51,0.96875
52,1.0
53,0.90625
54,0.9375
55,0.8125
56,0.6875
57,0.90625
58,1.0
59,0.90625
60,0.96875
61,0.875
62,0.96875
63,1.0
64,0.90625
65,0.375
66,0.875
67,0.96875
68,1.0
69,0.875
70,0.90625
71,0.59375
72,1.0
73,0.9375
74,1.0
75,0.75
76,0.84375
77,0.9375
78,0.96875
79,0.8125
80,0.96875
81,0.25
82,0.53125
83,0.84375
84,0.96875
85,0.46875
86,0.8125
87,0.90625
88,0.65625
89,0.875
90,0.96875
91,1.0
92,0.96875
93,0.90625
94,0.9375
95,0.8125
96,0.96875
97,0.90625
98,1.0
99,0.9375
100,0.90625
101,0.96875
102,0.84375
103,0.9375
104,0.9375
105,0.96875
106,1.0
107,0.875
108,0.6875
109,0.84375
110,0.875
111,0.9375
112,0.9375
113,0.625
114,1.0
115,0.96875
116,0.90625
117,0.90625
118,0.90625
119,0.96875
120,0.875
121,0.90625
122,1.0
123,0.96875
124,0.875
125,0.78125
126,0.90625
127,0.5625
128,0.90625
129,0.9375
130,0.90625
131,0.875
132,1.0
133,1.0
134,0.75
135,0.6875
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,0.875
142,0.9375
143,0.8125
144,0.90625
145,0.96875
146,0.9375
147,0.84375
148,0.6875
149,1.0
150,0.875
151,0.875
152,0.875
153,0.9375
154,0.84375
155,1.0
156,0.9375
157,0.5625
158,0.8125
159,0.90625
160,0.84375
161,0.8125
162,0.84375
163,0.375
164,0.96875
165,0.9375
166,0.4375
167,0.84375
168,0.90625
169,0.96875
170,0.625
171,0.875
172,0.84375
173,0.90625
174,0.875
175,1.0
176,0.90625
177,0.96875
178,0.75
179,0.9375
