,Absolute Magnetisations Per Spin
0,0.6875
1,0.875
2,0.84375
3,0.96875
4,0.8125
5,0.9375
6,0.9375
7,0.875
8,0.65625
9,0.3125
10,0.875
11,0.84375
12,0.875
13,0.75
14,0.9375
15,0.875
16,0.96875
17,0.96875
18,0.78125
19,0.6875
20,0.875
21,0.90625
22,0.84375
23,0.96875
24,0.90625
25,0.875
26,1.0
27,0.59375
28,0.1875
29,0.53125
30,0.5
31,1.0
32,0.75
33,0.96875
34,0.8125
35,0.875
36,0.96875
37,0.875
38,0.3125
39,0.75
40,0.875
41,0.78125
42,0.90625
43,0.375
44,0.59375
45,0.90625
46,0.84375
47,0.8125
48,0.875
49,0.1875
50,0.40625
51,0.84375
52,0.78125
53,0.8125
54,0.78125
55,0.9375
56,0.96875
57,0.875
58,0.9375
59,0.90625
60,0.8125
61,0.625
62,0.9375
63,0.78125
64,0.75
65,0.875
66,0.65625
67,0.5625
68,0.875
69,0.96875
70,0.625
71,0.96875
72,0.96875
73,0.96875
74,0.96875
75,0.8125
76,0.90625
77,0.8125
78,0.6875
79,0.65625
80,0.875
81,0.6875
82,0.84375
83,0.875
84,0.875
85,0.78125
86,0.875
87,0.75
88,0.6875
89,1.0
90,0.03125
91,0.9375
92,0.8125
93,0.90625
94,0.9375
95,0.96875
96,0.84375
97,0.40625
98,0.78125
99,0.96875
100,0.40625
101,0.21875
102,0.96875
103,0.75
104,0.9375
105,0.84375
106,1.0
107,0.84375
108,0.71875
109,0.78125
110,0.9375
111,0.75
112,0.6875
113,0.03125
114,0.4375
115,0.5
116,0.75
117,0.96875
118,0.75
119,0.84375
120,0.75
121,0.9375
122,0.875
123,0.8125
124,0.96875
125,0.8125
126,0.875
127,0.84375
128,0.6875
129,1.0
130,0.71875
131,0.875
132,0.71875
133,0.9375
134,0.96875
135,0.65625
136,0.875
137,0.90625
138,0.5
139,0.625
140,0.875
141,0.90625
142,0.90625
143,0.75
144,0.9375
145,0.5625
146,0.875
147,0.9375
148,0.9375
149,0.9375
150,0.75
151,0.75
152,0.375
153,0.59375
154,0.90625
155,0.9375
156,0.84375
157,0.90625
158,0.9375
159,0.8125
160,0.78125
161,0.6875
162,0.90625
163,0.90625
164,1.0
165,0.9375
166,0.9375
167,0.9375
168,0.9375
169,0.9375
170,0.90625
171,0.9375
172,0.84375
173,0.40625
174,0.90625
175,0.90625
176,0.84375
177,0.625
178,0.21875
179,0.15625
180,0.59375
181,0.6875
182,0.65625
183,0.71875
184,0.71875
185,0.375
186,0.71875
187,0.5
188,0.96875
189,0.28125
190,0.90625
191,0.9375
192,0.8125
193,0.75
194,0.78125
195,0.71875
196,0.75
197,0.90625
198,0.90625
199,0.78125
200,0.90625
201,0.46875
202,0.9375
203,0.875
204,0.8125
205,0.84375
206,0.8125
207,0.875
208,0.90625
209,0.9375
210,0.90625
211,0.9375
212,0.96875
213,0.90625
214,0.8125
215,0.71875
216,0.9375
217,0.84375
218,0.625
219,0.90625
220,0.8125
221,0.90625
222,0.90625
223,0.28125
224,0.5625
225,0.84375
226,0.875
227,0.9375
228,1.0
229,0.46875
230,0.90625
231,0.9375
232,0.78125
233,0.8125
234,0.875
235,0.875
236,0.9375
237,0.8125
238,0.96875
239,0.59375
240,1.0
241,0.9375
242,0.875
243,0.53125
244,0.875
245,0.96875
246,0.71875
247,0.96875
248,0.90625
249,0.875
250,0.6875
251,1.0
252,0.96875
253,0.71875
254,0.53125
255,0.8125
256,0.96875
257,0.84375
258,0.71875
