,Absolute Magnetisations Per Spin
0,0.96875
1,0.875
2,0.8125
3,0.78125
4,0.84375
5,0.90625
6,0.90625
7,0.9375
8,0.90625
9,0.9375
10,0.8125
11,0.78125
12,0.625
13,0.5625
14,0.5
15,0.6875
16,0.625
17,0.71875
18,0.78125
19,0.8125
20,0.78125
21,0.875
22,0.9375
23,0.9375
24,0.71875
25,0.8125
26,0.84375
27,1.0
28,0.96875
29,0.8125
30,0.875
31,0.9375
32,0.90625
33,0.84375
34,0.875
35,0.875
36,0.9375
37,0.8125
38,0.8125
39,0.90625
40,0.65625
41,0.59375
42,0.8125
43,0.875
44,0.96875
45,0.96875
46,0.8125
47,0.8125
48,0.8125
49,0.875
50,0.90625
51,0.9375
52,0.875
53,0.84375
54,0.84375
55,0.84375
56,0.8125
57,0.78125
58,0.625
59,0.40625
60,0.4375
61,0.4375
62,0.40625
63,0.4375
64,0.4375
65,0.4375
66,0.53125
67,0.625
68,0.53125
69,0.3125
70,0.3125
71,0.34375
72,0.4375
73,0.53125
74,0.59375
75,0.75
76,0.71875
77,0.84375
78,0.875
79,0.875
80,0.78125
81,0.9375
82,0.84375
83,0.78125
84,0.875
85,0.875
86,0.90625
87,0.90625
88,0.90625
89,0.8125
90,0.8125
91,0.75
92,0.90625
93,0.875
94,0.8125
95,0.90625
96,0.96875
97,0.90625
98,0.9375
99,0.90625
100,0.9375
101,0.96875
102,0.96875
103,1.0
104,0.875
105,0.875
106,0.90625
107,0.8125
108,0.78125
109,0.8125
110,0.9375
111,0.96875
112,0.90625
113,0.90625
114,0.90625
115,0.875
116,0.96875
117,0.84375
118,0.90625
119,0.875
120,0.75
121,0.71875
122,0.6875
123,0.71875
124,0.34375
125,0.21875
126,0.5
127,0.40625
128,0.375
129,0.4375
130,0.375
131,0.46875
132,0.40625
133,0.5
134,0.53125
135,0.625
136,0.90625
137,0.875
138,0.875
139,0.875
140,0.8125
141,0.84375
142,0.9375
143,0.9375
144,0.78125
145,0.90625
146,0.96875
147,1.0
148,0.8125
149,0.875
150,0.84375
151,0.90625
152,0.9375
153,1.0
154,0.96875
155,0.96875
156,1.0
157,0.90625
158,0.78125
159,0.84375
160,0.90625
161,0.875
162,0.90625
163,0.96875
164,0.9375
165,0.90625
166,0.84375
167,0.84375
168,0.78125
169,0.8125
170,0.75
171,0.8125
172,1.0
173,0.9375
174,0.875
175,0.9375
176,1.0
177,0.9375
178,0.9375
179,0.90625
180,0.90625
181,0.875
182,0.8125
183,0.8125
184,0.84375
185,0.96875
186,0.84375
187,0.75
188,0.5
189,0.46875
190,0.3125
191,0.46875
192,0.8125
193,0.8125
194,0.84375
195,0.875
196,0.84375
197,0.84375
198,0.625
199,0.625
200,0.625
201,0.90625
202,0.96875
203,0.875
204,0.71875
205,0.78125
206,0.875
207,0.84375
208,0.75
209,0.59375
210,0.6875
211,0.5
212,0.375
213,0.375
214,0.34375
215,0.125
216,0.34375
217,0.28125
218,0.21875
219,0.0625
220,0.21875
221,0.375
222,0.4375
223,0.65625
224,0.75
225,0.84375
226,0.90625
227,1.0
228,1.0
229,0.96875
230,0.78125
231,0.84375
232,0.875
233,0.96875
234,0.9375
