,Absolute Magnetisations Per Spin
0,0.03125
1,0.09375
2,0.1875
3,0.1875
4,0.09375
5,0.0625
6,0.03125
7,0.0
8,0.3125
9,0.0625
10,0.03125
11,0.09375
12,0.15625
13,0.125
14,0.0
15,0.125
16,0.09375
17,0.0625
18,0.1875
19,0.21875
20,0.28125
21,0.375
22,0.375
23,0.46875
24,0.3125
25,0.40625
26,0.375
27,0.4375
28,0.03125
29,0.03125
30,0.0625
31,0.21875
32,0.15625
33,0.09375
34,0.125
35,0.09375
36,0.09375
37,0.03125
38,0.0
39,0.03125
40,0.40625
41,0.21875
42,0.03125
43,0.1875
44,0.1875
45,0.34375
46,0.21875
47,0.34375
48,0.1875
49,0.1875
50,0.1875
51,0.21875
52,0.03125
53,0.125
54,0.375
55,0.25
56,0.125
57,0.15625
58,0.1875
59,0.0
60,0.09375
61,0.03125
62,0.03125
63,0.28125
64,0.15625
65,0.125
66,0.0625
67,0.09375
68,0.15625
69,0.09375
70,0.03125
71,0.25
72,0.03125
73,0.3125
74,0.15625
75,0.03125
76,0.03125
77,0.125
78,0.40625
79,0.34375
80,0.4375
81,0.0625
82,0.40625
83,0.28125
84,0.40625
85,0.375
86,0.40625
87,0.3125
88,0.125
89,0.0
90,0.09375
91,0.15625
92,0.375
93,0.375
94,0.1875
95,0.34375
96,0.25
97,0.34375
98,0.03125
99,0.25
100,0.15625
101,0.21875
102,0.3125
103,0.15625
104,0.03125
105,0.0625
106,0.0625
107,0.1875
108,0.15625
109,0.03125
110,0.03125
111,0.125
112,0.21875
113,0.125
114,0.125
115,0.03125
116,0.125
117,0.375
118,0.125
119,0.125
120,0.03125
121,0.09375
122,0.1875
123,0.3125
124,0.375
125,0.25
126,0.375
127,0.46875
128,0.34375
129,0.125
130,0.0
131,0.21875
132,0.375
133,0.375
134,0.4375
135,0.1875
136,0.25
137,0.0625
138,0.125
139,0.03125
140,0.125
141,0.09375
142,0.125
143,0.09375
144,0.0625
145,0.15625
146,0.3125
147,0.0625
148,0.1875
149,0.03125
150,0.125
151,0.5625
152,0.0625
153,0.25
154,0.3125
155,0.4375
156,0.3125
157,0.5625
158,0.46875
159,0.3125
160,0.15625
161,0.3125
162,0.5625
163,0.59375
164,0.40625
165,0.09375
166,0.09375
167,0.28125
168,0.40625
169,0.34375
170,0.34375
171,0.125
172,0.03125
173,0.0625
174,0.21875
175,0.21875
176,0.25
177,0.65625
178,0.5625
179,0.5
180,0.03125
181,0.125
182,0.3125
183,0.3125
184,0.28125
185,0.34375
186,0.375
187,0.4375
188,0.21875
189,0.53125
190,0.25
191,0.15625
192,0.46875
193,0.28125
194,0.34375
195,0.46875
196,0.46875
197,0.4375
198,0.53125
199,0.28125
200,0.375
201,0.3125
202,0.1875
203,0.1875
204,0.3125
205,0.5
206,0.40625
207,0.53125
208,0.65625
209,0.40625
210,0.09375
211,0.21875
212,0.46875
213,0.59375
214,0.5625
215,0.34375
216,0.1875
217,0.03125
218,0.0625
219,0.09375
220,0.3125
221,0.3125
222,0.125
223,0.375
224,0.6875
225,0.5625
226,0.75
227,0.6875
228,0.46875
229,0.3125
230,0.375
231,0.40625
232,0.15625
233,0.4375
234,0.40625
235,0.75
236,0.46875
237,0.4375
238,0.1875
239,0.125
240,0.5
241,0.625
242,0.65625
243,0.8125
244,0.53125
245,0.40625
246,0.375
247,0.46875
248,0.375
249,0.0625
250,0.03125
251,0.0625
252,0.03125
253,0.0625
254,0.21875
255,0.15625
256,0.0625
257,0.3125
258,0.34375
259,0.15625
260,0.1875
261,0.53125
262,0.0
263,0.15625
264,0.375
265,0.0625
266,0.15625
267,0.1875
268,0.0
269,0.09375
270,0.03125
271,0.15625
272,0.1875
273,0.0625
274,0.1875
275,0.40625
276,0.3125
277,0.1875
278,0.15625
279,0.03125
280,0.3125
281,0.40625
282,0.53125
283,0.34375
284,0.28125
285,0.125
286,0.21875
287,0.34375
288,0.25
289,0.25
290,0.375
291,0.03125
292,0.03125
293,0.0625
294,0.0
295,0.3125
296,0.375
297,0.21875
298,0.21875
299,0.125
300,0.03125
301,0.0625
302,0.09375
303,0.4375
304,0.5
305,0.40625
306,0.25
307,0.15625
308,0.125
309,0.03125
310,0.21875
311,0.28125
312,0.0625
313,0.375
314,0.5
315,0.15625
316,0.3125
317,0.125
318,0.65625
319,0.4375
320,0.53125
321,0.53125
322,0.40625
323,0.53125
324,0.375
325,0.3125
326,0.1875
327,0.125
328,0.125
329,0.0625
330,0.34375
331,0.40625
332,0.21875
333,0.5
334,0.25
335,0.09375
336,0.1875
337,0.34375
338,0.15625
339,0.15625
340,0.125
341,0.21875
342,0.28125
343,0.3125
344,0.3125
345,0.34375
346,0.5
347,0.375
348,0.5625
349,0.53125
350,0.59375
351,0.40625
352,0.34375
353,0.4375
354,0.21875
355,0.0625
356,0.1875
357,0.03125
358,0.0625
359,0.28125
360,0.15625
361,0.09375
362,0.25
363,0.40625
364,0.5
365,0.5
366,0.34375
367,0.15625
368,0.0
369,0.03125
370,0.09375
371,0.03125
372,0.15625
373,0.09375
374,0.4375
375,0.34375
376,0.53125
377,0.6875
378,0.5625
379,0.4375
380,0.53125
381,0.3125
382,0.5625
383,0.46875
384,0.4375
385,0.34375
386,0.0625
387,0.125
388,0.03125
389,0.15625
390,0.25
391,0.15625
392,0.25
393,0.28125
394,0.09375
395,0.21875
396,0.28125
397,0.46875
398,0.34375
399,0.40625
400,0.5625
401,0.59375
402,0.3125
403,0.46875
404,0.125
405,0.25
406,0.15625
407,0.03125
408,0.09375
409,0.34375
410,0.03125
411,0.25
412,0.28125
413,0.59375
414,0.40625
415,0.34375
416,0.3125
417,0.375
418,0.53125
419,0.59375
420,0.5
421,0.375
422,0.1875
423,0.3125
424,0.59375
425,0.40625
426,0.28125
427,0.4375
428,0.46875
429,0.5625
430,0.59375
431,0.625
432,0.59375
433,0.40625
434,0.375
435,0.28125
436,0.5
437,0.46875
438,0.5625
439,0.40625
440,0.3125
441,0.3125
442,0.40625
443,0.40625
444,0.375
445,0.375
446,0.34375
447,0.125
448,0.375
449,0.375
450,0.4375
451,0.21875
452,0.5
453,0.1875
454,0.15625
455,0.15625
456,0.28125
457,0.34375
458,0.46875
459,0.40625
460,0.28125
461,0.375
462,0.40625
463,0.21875
464,0.15625
465,0.1875
466,0.0
467,0.3125
468,0.0625
469,0.0
470,0.03125
471,0.25
472,0.125
473,0.15625
474,0.1875
475,0.1875
476,0.03125
477,0.0625
478,0.0625
479,0.03125
480,0.1875
481,0.0625
482,0.125
483,0.125
484,0.03125
485,0.125
486,0.09375
487,0.0
488,0.25
489,0.0625
490,0.21875
491,0.0625
492,0.125
493,0.0625
494,0.09375
495,0.03125
496,0.15625
497,0.28125
498,0.21875
499,0.40625
500,0.1875
501,0.4375
502,0.40625
503,0.4375
504,0.3125
505,0.3125
506,0.40625
507,0.46875
508,0.5
509,0.34375
510,0.21875
511,0.21875
512,0.0625
513,0.1875
514,0.21875
515,0.28125
516,0.03125
517,0.0
518,0.03125
519,0.21875
520,0.375
521,0.46875
522,0.25
523,0.03125
524,0.53125
525,0.5625
526,0.53125
527,0.53125
528,0.625
529,0.375
530,0.28125
531,0.34375
532,0.65625
533,0.46875
534,0.59375
535,0.09375
536,0.0625
537,0.03125
538,0.28125
539,0.3125
540,0.5
541,0.5
542,0.4375
543,0.53125
544,0.65625
545,0.5
