,Absolute Magnetisations Per Spin
0,0.53125
1,0.71875
2,0.4375
3,0.65625
4,0.53125
5,0.375
6,0.53125
7,0.53125
8,0.4375
9,0.6875
10,0.59375
11,0.5
12,0.625
13,0.53125
14,0.4375
15,0.46875
16,0.5625
17,0.625
18,0.625
19,0.40625
20,0.375
21,0.09375
22,0.21875
23,0.1875
24,0.40625
25,0.3125
26,0.09375
27,0.21875
28,0.4375
29,0.65625
30,0.3125
31,0.09375
32,0.03125
33,0.0625
34,0.03125
35,0.1875
36,0.46875
37,0.5
38,0.46875
39,0.6875
40,0.5625
41,0.5
42,0.53125
43,0.4375
44,0.15625
45,0.0625
46,0.25
47,0.1875
48,0.34375
49,0.03125
50,0.21875
51,0.3125
52,0.375
53,0.4375
54,0.375
55,0.34375
56,0.4375
57,0.59375
58,0.5
59,0.5625
60,0.59375
61,0.96875
62,0.9375
63,0.96875
64,0.96875
65,0.90625
66,0.875
67,0.78125
68,0.90625
69,0.8125
70,0.71875
71,0.65625
72,0.53125
73,0.34375
74,0.3125
75,0.1875
76,0.5
77,0.46875
78,0.3125
79,0.1875
80,0.375
81,0.4375
82,0.1875
83,0.34375
84,0.5
85,0.71875
86,0.71875
87,0.71875
88,0.71875
89,0.6875
90,0.8125
91,0.9375
92,0.9375
93,0.75
94,0.71875
95,0.4375
96,0.59375
97,0.4375
98,0.15625
99,0.375
100,0.40625
101,0.5
102,0.40625
103,0.375
104,0.34375
105,0.25
106,0.375
107,0.53125
108,0.4375
109,0.53125
110,0.59375
111,0.46875
112,0.5
113,0.40625
114,0.375
115,0.34375
116,0.1875
117,0.15625
118,0.0
119,0.28125
120,0.28125
121,0.5
122,0.40625
123,0.40625
124,0.59375
125,0.625
126,0.65625
127,0.46875
128,0.53125
129,0.46875
130,0.5625
131,0.59375
132,0.3125
133,0.34375
134,0.34375
135,0.1875
136,0.34375
137,0.375
138,0.15625
139,0.0625
140,0.1875
141,0.21875
142,0.03125
143,0.03125
144,0.03125
145,0.125
146,0.125
