,Absolute Magnetisations Per Spin
0,0.25
1,0.15625
2,0.21875
3,0.125
4,0.21875
5,0.1875
6,0.125
7,0.0625
8,0.40625
9,0.15625
10,0.21875
11,0.15625
12,0.0
13,0.125
14,0.09375
15,0.40625
16,0.25
17,0.46875
18,0.53125
19,0.46875
20,0.1875
21,0.15625
22,0.15625
23,0.375
24,0.125
25,0.21875
26,0.4375
27,0.3125
28,0.3125
29,0.21875
30,0.03125
31,0.09375
32,0.21875
33,0.21875
34,0.03125
35,0.40625
36,0.28125
37,0.03125
38,0.03125
39,0.25
40,0.34375
41,0.53125
42,0.59375
43,0.59375
44,0.53125
45,0.34375
46,0.46875
47,0.3125
48,0.34375
49,0.15625
50,0.0625
51,0.15625
52,0.125
53,0.125
54,0.0625
55,0.09375
56,0.1875
57,0.3125
58,0.3125
59,0.03125
60,0.03125
61,0.03125
62,0.15625
63,0.09375
64,0.125
65,0.125
66,0.0625
67,0.25
68,0.09375
69,0.25
70,0.25
71,0.375
72,0.40625
73,0.4375
74,0.5625
75,0.5
76,0.8125
77,0.6875
78,0.90625
79,0.65625
80,0.71875
81,0.75
82,0.375
83,0.125
84,0.125
85,0.40625
86,0.4375
87,0.625
88,0.46875
89,0.4375
90,0.4375
91,0.59375
92,0.34375
93,0.40625
94,0.21875
95,0.28125
96,0.0625
97,0.03125
98,0.46875
99,0.5625
100,0.4375
101,0.28125
102,0.5
103,0.59375
104,0.875
105,0.84375
106,0.9375
107,0.6875
108,0.53125
109,0.5625
110,0.625
111,0.5
112,0.6875
113,0.71875
114,0.71875
115,0.875
116,0.90625
117,1.0
118,0.875
119,0.78125
120,0.625
121,0.65625
122,0.71875
123,0.3125
124,0.5
125,0.4375
126,0.5625
127,0.5
128,0.53125
129,0.53125
130,0.28125
131,0.15625
132,0.1875
133,0.28125
134,0.15625
135,0.125
136,0.0
137,0.0
138,0.125
139,0.15625
140,0.09375
141,0.0625
142,0.125
143,0.15625
144,0.25
145,0.28125
146,0.46875
147,0.375
148,0.5
149,0.4375
150,0.1875
151,0.0
152,0.09375
153,0.03125
154,0.03125
155,0.1875
156,0.25
157,0.28125
158,0.40625
159,0.5
160,0.375
161,0.3125
162,0.1875
163,0.21875
164,0.375
165,0.28125
166,0.28125
167,0.15625
168,0.03125
169,0.15625
170,0.125
171,0.1875
172,0.09375
173,0.1875
174,0.3125
175,0.03125
176,0.21875
177,0.5
178,0.40625
179,0.59375
180,0.71875
181,0.53125
182,0.875
183,0.65625
184,0.5
185,0.71875
186,0.625
187,0.65625
188,0.65625
189,0.5625
190,0.4375
191,0.40625
192,0.3125
193,0.21875
194,0.0625
195,0.15625
196,0.0625
197,0.1875
198,0.28125
199,0.34375
200,0.34375
201,0.46875
202,0.28125
203,0.1875
204,0.21875
205,0.375
206,0.3125
207,0.375
208,0.6875
209,0.625
210,0.34375
211,0.21875
212,0.28125
213,0.4375
214,0.375
215,0.71875
216,0.40625
217,0.21875
218,0.21875
219,0.21875
220,0.21875
221,0.5
222,0.75
223,0.84375
224,0.90625
225,0.71875
226,0.5625
227,0.4375
228,0.3125
229,0.40625
230,0.09375
231,0.0625
232,0.125
233,0.21875
234,0.53125
235,0.0
236,0.125
237,0.21875
238,0.46875
239,0.4375
240,0.5625
241,0.71875
242,0.6875
243,0.5625
244,0.53125
245,0.53125
246,0.34375
247,0.21875
248,0.59375
249,0.59375
250,0.59375
251,0.75
252,0.84375
253,0.9375
254,0.96875
255,0.84375
256,0.59375
257,0.625
258,0.6875
259,0.4375
260,0.28125
261,0.28125
262,0.09375
263,0.25
264,0.25
265,0.0
266,0.03125
267,0.1875
268,0.15625
269,0.3125
270,0.15625
271,0.0
272,0.03125
273,0.0625
274,0.125
275,0.0
276,0.15625
277,0.21875
278,0.21875
279,0.1875
280,0.1875
281,0.09375
282,0.21875
283,0.375
284,0.3125
285,0.03125
286,0.09375
287,0.40625
288,0.4375
289,0.46875
290,0.4375
291,0.40625
292,0.34375
293,0.40625
294,0.5625
295,0.53125
296,0.71875
297,0.6875
298,0.65625
299,0.625
300,0.4375
301,0.28125
302,0.4375
303,0.5625
304,0.46875
305,0.3125
306,0.5625
307,0.59375
308,0.53125
309,0.625
310,0.46875
311,0.625
312,0.59375
313,0.40625
314,0.25
315,0.34375
316,0.28125
317,0.21875
318,0.40625
319,0.5
320,0.625
321,0.6875
322,0.84375
323,0.6875
324,0.53125
325,0.375
326,0.09375
327,0.21875
328,0.125
329,0.1875
330,0.0
331,0.25
332,0.34375
333,0.375
334,0.21875
335,0.28125
336,0.28125
337,0.3125
338,0.0625
339,0.28125
340,0.21875
341,0.375
342,0.46875
343,0.78125
344,0.4375
345,0.375
346,0.1875
347,0.28125
348,0.21875
349,0.0625
350,0.375
351,0.34375
352,0.46875
353,0.25
354,0.4375
355,0.5
356,0.59375
357,0.4375
358,0.25
359,0.3125
360,0.5
361,0.59375
362,0.8125
363,0.8125
364,0.84375
365,0.8125
366,0.9375
367,0.65625
368,0.5625
369,0.53125
370,0.65625
371,0.59375
372,0.625
373,0.53125
374,0.5625
375,0.5625
376,0.75
377,0.75
378,0.78125
379,0.78125
380,0.46875
381,0.15625
382,0.28125
383,0.1875
384,0.34375
385,0.6875
386,0.625
387,0.5625
388,0.46875
389,0.4375
390,0.53125
391,0.5625
392,0.5
393,0.78125
394,0.90625
395,0.90625
396,0.78125
397,0.78125
398,0.78125
399,0.71875
400,0.3125
401,0.3125
402,0.21875
403,0.65625
404,0.59375
405,0.59375
406,0.6875
407,0.5625
408,0.59375
409,0.53125
410,0.34375
411,0.3125
412,0.3125
413,0.28125
414,0.46875
415,0.4375
416,0.34375
417,0.3125
418,0.21875
419,0.3125
420,0.59375
421,0.625
422,0.75
423,0.6875
424,0.65625
425,0.75
426,0.65625
427,0.59375
428,0.53125
429,0.53125
430,0.59375
431,0.5625
432,0.5
433,0.84375
434,0.59375
435,0.59375
436,0.5625
437,0.4375
438,0.59375
439,0.46875
440,0.5
441,0.40625
442,0.40625
443,0.5
444,0.5625
445,0.625
446,0.53125
447,0.4375
448,0.46875
449,0.40625
450,0.625
451,0.625
452,0.78125
453,0.59375
454,0.4375
455,0.40625
456,0.21875
457,0.375
458,0.15625
459,0.0
460,0.15625
461,0.34375
462,0.53125
463,0.5
464,0.65625
465,0.71875
466,0.375
467,0.25
468,0.21875
469,0.0
470,0.34375
471,0.375
472,0.15625
473,0.25
474,0.4375
475,0.375
476,0.25
477,0.15625
478,0.21875
479,0.28125
480,0.21875
481,0.21875
482,0.25
483,0.28125
484,0.375
485,0.09375
486,0.15625
487,0.0625
488,0.28125
489,0.40625
490,0.3125
491,0.125
492,0.25
493,0.4375
494,0.28125
495,0.375
496,0.5
497,0.5
498,0.34375
499,0.3125
500,0.59375
501,0.15625
502,0.09375
503,0.0
504,0.0625
505,0.125
506,0.1875
507,0.0
508,0.0625
509,0.125
510,0.125
511,0.21875
512,0.375
513,0.125
514,0.03125
515,0.34375
516,0.125
517,0.53125
518,0.4375
519,0.59375
520,0.6875
521,0.9375
522,0.84375
523,0.6875
524,0.6875
525,0.65625
526,0.59375
527,0.4375
528,0.375
529,0.09375
530,0.0625
531,0.21875
532,0.09375
533,0.0625
534,0.125
535,0.1875
536,0.03125
537,0.0
538,0.0
539,0.0625
540,0.03125
541,0.0625
542,0.15625
543,0.0
544,0.3125
545,0.1875
546,0.3125
547,0.21875
548,0.21875
549,0.5
550,0.375
551,0.40625
552,0.46875
553,0.53125
554,0.4375
555,0.3125
556,0.375
557,0.3125
558,0.46875
559,0.4375
560,0.46875
561,0.375
562,0.4375
563,0.125
564,0.1875
565,0.28125
566,0.03125
567,0.25
568,0.34375
569,0.46875
570,0.34375
571,0.3125
572,0.28125
573,0.21875
574,0.21875
575,0.125
576,0.125
577,0.125
578,0.0625
579,0.15625
580,0.25
581,0.40625
582,0.34375
583,0.375
584,0.375
585,0.375
586,0.4375
587,0.40625
588,0.53125
589,0.59375
590,0.40625
591,0.5
592,0.59375
593,0.4375
594,0.21875
595,0.1875
596,0.0625
597,0.21875
598,0.21875
599,0.09375
600,0.1875
601,0.0
602,0.09375
603,0.125
604,0.09375
605,0.3125
606,0.34375
607,0.46875
608,0.65625
609,0.53125
610,0.34375
611,0.15625
612,0.25
613,0.0
614,0.03125
615,0.0
616,0.03125
617,0.3125
618,0.46875
619,0.34375
620,0.5625
621,0.71875
622,0.59375
623,0.40625
624,0.25
625,0.34375
626,0.0625
627,0.59375
628,0.34375
629,0.40625
630,0.15625
631,0.21875
632,0.125
633,0.09375
634,0.125
635,0.15625
636,0.0
637,0.03125
638,0.0625
639,0.0625
640,0.1875
641,0.09375
642,0.3125
643,0.0625
644,0.03125
645,0.0
646,0.1875
647,0.5
648,0.375
649,0.375
650,0.125
651,0.125
652,0.25
653,0.0625
654,0.125
655,0.09375
656,0.3125
657,0.28125
658,0.53125
659,0.625
660,0.6875
661,0.6875
662,0.46875
663,0.28125
664,0.1875
665,0.03125
666,0.1875
667,0.21875
668,0.28125
669,0.25
670,0.28125
671,0.15625
672,0.28125
673,0.375
674,0.15625
675,0.0625
676,0.0625
677,0.09375
678,0.15625
679,0.15625
680,0.09375
681,0.21875
682,0.09375
683,0.0625
684,0.1875
685,0.125
686,0.1875
687,0.3125
688,0.25
689,0.09375
690,0.125
691,0.1875
692,0.46875
693,0.46875
694,0.1875
695,0.1875
696,0.25
697,0.125
698,0.15625
699,0.0625
700,0.09375
701,0.15625
702,0.125
703,0.28125
704,0.25
705,0.34375
706,0.21875
707,0.0
708,0.1875
709,0.1875
710,0.0
711,0.25
712,0.4375
713,0.1875
714,0.15625
715,0.375
716,0.0
717,0.09375
718,0.1875
719,0.3125
720,0.5625
721,0.65625
722,0.46875
723,0.40625
724,0.46875
725,0.1875
726,0.15625
727,0.03125
728,0.40625
729,0.5
730,0.5
731,0.59375
732,0.71875
733,0.6875
734,0.8125
735,0.84375
736,0.8125
737,0.59375
738,0.6875
739,0.5625
740,0.59375
741,0.5625
742,0.625
743,0.625
744,0.65625
745,0.6875
746,0.71875
747,0.78125
748,0.96875
749,1.0
750,0.9375
751,0.875
752,0.875
753,0.8125
754,0.8125
755,0.75
756,0.78125
757,0.8125
758,0.65625
759,0.59375
760,0.59375
761,0.8125
762,0.28125
763,0.59375
764,0.6875
765,0.65625
766,0.59375
767,0.375
768,0.3125
769,0.59375
770,0.46875
771,0.5
772,0.71875
773,0.59375
774,0.53125
775,0.46875
776,0.53125
777,0.46875
778,0.46875
779,0.65625
780,0.65625
781,0.625
782,0.5625
783,0.65625
784,0.53125
785,0.625
786,0.5
787,0.40625
788,0.3125
789,0.21875
790,0.28125
791,0.5
792,0.3125
793,0.15625
794,0.0625
795,0.0625
796,0.15625
797,0.09375
798,0.0
799,0.03125
800,0.0
801,0.0625
802,0.5625
803,0.5
804,0.5625
805,0.65625
806,0.46875
807,0.34375
808,0.6875
809,0.8125
810,0.6875
811,0.40625
812,0.53125
813,0.71875
814,0.8125
815,0.875
816,0.53125
817,0.5625
818,0.3125
819,0.53125
820,0.46875
821,0.46875
822,0.625
823,0.34375
824,0.21875
825,0.03125
826,0.15625
827,0.34375
828,0.21875
829,0.34375
830,0.28125
831,0.53125
832,0.5
833,0.5625
834,0.53125
835,0.71875
836,0.5625
837,0.71875
838,0.53125
839,0.5625
840,0.6875
841,0.5625
842,0.6875
843,0.375
844,0.375
845,0.34375
846,0.4375
847,0.40625
848,0.5
849,0.625
850,0.625
851,0.625
852,0.65625
853,0.65625
854,0.28125
855,0.40625
856,0.40625
857,0.25
858,0.28125
859,0.25
860,0.25
861,0.3125
862,0.375
863,0.59375
864,0.65625
865,0.59375
866,0.78125
867,0.65625
868,0.65625
869,0.5625
870,0.6875
871,0.46875
872,0.8125
873,0.84375
874,0.8125
875,0.71875
876,0.625
877,0.65625
878,0.75
879,0.6875
880,0.625
881,0.65625
882,0.65625
883,0.6875
884,0.46875
885,0.3125
886,0.15625
887,0.21875
888,0.25
889,0.1875
890,0.40625
891,0.40625
892,0.25
893,0.28125
894,0.34375
895,0.34375
896,0.0625
897,0.125
898,0.25
899,0.09375
900,0.25
901,0.1875
902,0.09375
903,0.1875
904,0.125
905,0.375
906,0.5625
907,0.34375
908,0.25
909,0.1875
910,0.125
911,0.15625
912,0.15625
913,0.28125
914,0.3125
