,Absolute Magnetisations Per Spin
0,0.03125
1,0.28125
2,0.4375
3,0.15625
4,0.3125
5,0.90625
6,0.5
7,0.15625
8,0.46875
9,0.15625
10,0.625
11,0.5
12,0.375
13,0.46875
14,0.0625
15,0.40625
16,0.125
17,0.625
18,0.625
19,0.1875
20,0.625
21,0.1875
22,0.53125
23,0.5
24,0.03125
25,0.65625
26,0.84375
27,0.03125
28,0.125
29,0.65625
30,0.03125
31,0.4375
32,0.34375
33,0.71875
34,0.3125
35,0.125
36,0.59375
37,0.59375
38,0.6875
39,0.5625
40,0.34375
41,0.09375
42,0.34375
43,0.0625
44,0.8125
45,0.28125
46,0.28125
47,0.09375
48,0.625
49,0.0625
50,0.28125
51,0.59375
52,0.4375
53,0.28125
54,0.84375
55,0.21875
56,0.0625
57,0.875
58,0.4375
59,0.09375
60,0.375
61,0.25
62,0.4375
63,0.53125
64,0.5
65,0.34375
66,0.46875
67,0.46875
68,0.75
69,0.875
70,0.03125
71,0.21875
72,0.15625
73,0.5
74,0.5
75,0.5
76,0.1875
77,0.375
78,0.375
79,0.65625
80,0.8125
81,0.84375
82,0.8125
83,0.375
84,0.78125
85,0.71875
86,0.5
87,0.15625
88,0.15625
89,0.25
90,0.375
91,0.21875
92,0.21875
93,0.21875
94,0.03125
95,0.0625
96,0.46875
97,0.21875
98,0.125
99,0.28125
100,0.1875
101,0.3125
102,0.4375
103,0.0625
104,0.59375
105,0.84375
106,0.84375
107,0.03125
108,0.25
109,0.3125
110,0.4375
111,0.46875
112,0.25
113,0.34375
114,0.0625
115,0.25
116,0.15625
117,0.0625
118,0.3125
119,0.28125
120,0.1875
121,0.4375
122,0.0
123,0.5
124,0.09375
125,0.375
126,0.5
127,0.59375
128,0.3125
129,0.3125
130,0.65625
131,0.5
132,0.40625
133,0.28125
134,0.03125
135,0.34375
136,0.6875
137,0.46875
138,0.53125
139,0.1875
140,0.09375
141,0.8125
142,0.53125
143,0.0625
144,0.65625
145,0.15625
146,0.28125
147,0.375
148,0.5625
149,0.28125
150,0.4375
151,0.0625
152,0.21875
153,0.125
154,0.09375
155,0.46875
156,0.1875
157,0.3125
158,0.46875
159,0.03125
160,0.03125
161,0.34375
162,0.0625
163,0.0625
164,0.375
165,0.625
166,0.5625
167,0.875
168,0.34375
169,0.625
170,0.03125
171,0.25
172,0.6875
173,0.375
174,0.125
175,0.0
176,0.40625
177,0.375
178,0.65625
179,0.1875
180,0.9375
181,0.15625
182,0.34375
183,0.5625
184,0.5
185,0.5625
186,0.375
187,0.0
188,0.15625
189,0.53125
190,0.5
191,0.625
192,0.0
193,0.40625
194,0.8125
195,0.625
196,0.6875
197,0.59375
198,0.09375
199,0.0
200,0.21875
201,0.34375
202,0.5625
203,0.75
204,0.15625
205,0.90625
206,0.09375
207,0.78125
208,0.3125
209,0.65625
210,0.53125
211,0.3125
212,0.3125
213,0.1875
214,0.0625
215,0.09375
216,0.28125
217,0.71875
218,0.3125
219,0.375
220,0.3125
221,0.03125
222,0.1875
223,0.6875
224,0.4375
225,0.34375
226,0.53125
227,0.125
228,0.5625
229,0.1875
230,0.4375
231,0.3125
232,0.78125
233,0.5
234,0.28125
235,0.5625
236,0.375
237,0.53125
238,0.5625
239,0.65625
240,0.25
241,0.0625
242,0.1875
243,0.5625
244,0.5
245,0.25
246,0.71875
247,0.3125
248,0.5625
249,0.375
250,0.15625
251,0.4375
252,0.59375
253,0.65625
254,0.34375
255,0.75
256,0.3125
257,0.5625
258,0.3125
259,0.34375
260,0.40625
261,0.25
262,0.25
263,0.03125
264,0.15625
265,0.78125
266,0.25
267,0.34375
268,0.21875
269,0.03125
270,0.03125
271,0.53125
272,0.53125
273,0.4375
274,0.5
275,0.09375
276,0.15625
277,0.34375
278,0.125
279,0.65625
280,0.1875
281,0.0625
282,0.28125
283,0.09375
284,0.3125
285,0.1875
286,0.125
287,0.65625
288,0.125
289,0.1875
290,0.21875
291,0.84375
292,0.375
293,0.25
294,0.4375
295,0.4375
296,0.0
297,0.375
298,0.40625
299,0.0
300,0.625
301,0.25
302,0.1875
303,0.375
304,0.28125
305,0.03125
306,0.53125
307,0.75
308,0.6875
309,0.625
310,0.09375
311,0.15625
312,0.3125
313,0.03125
314,0.875
315,0.53125
316,0.09375
317,0.78125
318,0.40625
319,0.78125
320,0.625
321,0.28125
322,0.4375
323,0.5
324,0.4375
325,0.3125
326,0.28125
327,0.59375
328,0.28125
329,0.21875
330,0.375
331,0.28125
332,0.03125
333,0.0
334,0.3125
335,0.3125
336,0.0625
337,0.6875
338,0.8125
339,0.28125
340,0.1875
341,0.15625
342,0.53125
343,0.5
344,0.1875
345,0.5
346,0.59375
347,0.3125
348,0.71875
349,0.46875
350,0.65625
351,0.6875
352,0.40625
353,0.1875
354,0.3125
355,0.09375
356,0.59375
357,0.0
358,0.625
359,0.5625
360,0.1875
361,0.75
362,0.03125
363,0.25
364,0.25
365,0.09375
366,0.0625
367,0.0625
368,0.09375
369,0.0
370,0.625
371,0.0625
372,0.15625
373,0.0625
374,0.5
375,0.0
376,0.25
377,0.09375
378,0.65625
379,0.65625
380,0.4375
381,0.65625
382,0.125
383,0.03125
384,0.59375
385,0.875
386,0.4375
387,0.71875
388,0.625
389,0.5
390,0.5
391,0.3125
392,0.0
393,0.75
394,0.75
395,0.0
396,0.65625
397,0.53125
398,0.625
399,0.09375
400,0.59375
401,0.40625
402,0.03125
403,0.09375
404,0.03125
405,0.5
406,0.1875
407,0.65625
408,0.1875
409,0.21875
410,0.21875
411,0.46875
412,0.1875
413,0.1875
414,0.3125
415,0.125
416,0.09375
417,0.375
418,0.4375
419,0.0625
420,0.4375
421,0.21875
422,0.375
423,0.46875
424,0.4375
425,0.15625
426,0.40625
427,0.625
428,0.1875
429,0.5625
430,0.625
431,0.46875
432,0.59375
433,0.53125
434,0.4375
435,0.46875
436,0.21875
437,0.0625
438,0.65625
439,0.0625
440,0.0
441,0.25
442,0.21875
443,0.3125
444,0.625
445,0.46875
446,0.34375
447,0.34375
448,0.5
449,0.1875
450,0.6875
451,0.21875
452,0.5
453,0.875
454,0.4375
455,0.4375
456,0.84375
457,0.375
458,0.46875
459,0.6875
460,0.21875
461,0.1875
462,0.84375
463,0.6875
