,Absolute Magnetisations Per Spin
0,0.5625
1,0.40625
2,0.625
3,0.78125
4,0.75
5,0.6875
6,0.4375
7,0.3125
8,0.34375
9,0.25
10,0.4375
11,0.5625
12,0.625
13,0.46875
14,0.34375
15,0.59375
16,0.3125
17,0.34375
18,0.28125
19,0.375
20,0.28125
21,0.1875
22,0.03125
23,0.125
24,0.125
25,0.34375
26,0.3125
27,0.375
28,0.34375
29,0.53125
30,0.375
31,0.3125
32,0.4375
33,0.28125
34,0.0625
35,0.25
36,0.28125
37,0.03125
38,0.1875
39,0.21875
40,0.5625
41,0.4375
42,0.46875
43,0.34375
44,0.25
45,0.25
46,0.3125
47,0.46875
48,0.40625
49,0.375
50,0.125
51,0.34375
52,0.125
53,0.25
54,0.09375
55,0.21875
56,0.21875
57,0.15625
58,0.125
59,0.3125
60,0.125
61,0.09375
62,0.15625
63,0.125
64,0.46875
65,0.15625
66,0.0625
67,0.21875
68,0.1875
69,0.125
70,0.0625
71,0.28125
72,0.21875
73,0.15625
74,0.1875
75,0.28125
76,0.0
77,0.3125
78,0.40625
79,0.34375
80,0.65625
81,0.53125
82,0.5
83,0.25
84,0.09375
85,0.15625
86,0.1875
87,0.21875
88,0.25
89,0.15625
90,0.1875
91,0.28125
92,0.1875
93,0.09375
94,0.125
95,0.09375
96,0.03125
97,0.1875
98,0.40625
99,0.25
100,0.375
101,0.53125
102,0.3125
103,0.125
104,0.03125
105,0.1875
106,0.03125
107,0.34375
108,0.59375
109,0.4375
110,0.28125
111,0.34375
112,0.375
113,0.1875
114,0.15625
115,0.15625
116,0.4375
117,0.5
118,0.625
119,0.6875
120,0.53125
121,0.125
122,0.34375
123,0.34375
124,0.5
125,0.40625
126,0.21875
127,0.09375
128,0.1875
129,0.15625
130,0.1875
131,0.34375
132,0.4375
133,0.28125
134,0.15625
135,0.15625
136,0.28125
137,0.3125
138,0.5
139,0.3125
140,0.375
141,0.34375
142,0.1875
143,0.25
144,0.25
145,0.0
146,0.15625
147,0.46875
148,0.40625
149,0.34375
150,0.53125
151,0.28125
152,0.09375
153,0.21875
154,0.4375
155,0.21875
156,0.09375
157,0.0625
158,0.28125
159,0.46875
160,0.5
161,0.53125
162,0.5625
163,0.71875
164,0.53125
165,0.53125
166,0.625
167,0.65625
168,0.4375
169,0.375
170,0.25
171,0.0625
172,0.1875
173,0.0625
174,0.1875
175,0.15625
176,0.0
177,0.09375
178,0.40625
179,0.375
180,0.28125
181,0.5
182,0.34375
183,0.34375
184,0.46875
185,0.4375
186,0.375
187,0.1875
188,0.0625
189,0.1875
190,0.34375
191,0.15625
192,0.0625
193,0.15625
194,0.4375
195,0.4375
196,0.40625
197,0.0
198,0.25
199,0.375
200,0.40625
201,0.25
202,0.09375
203,0.0625
204,0.03125
205,0.0625
206,0.375
207,0.1875
208,0.125
209,0.125
210,0.0
211,0.1875
212,0.125
213,0.0625
214,0.15625
215,0.1875
216,0.3125
217,0.4375
218,0.4375
219,0.375
220,0.09375
221,0.34375
222,0.375
223,0.28125
224,0.5
225,0.6875
226,0.5625
227,0.65625
228,0.65625
229,0.625
230,0.46875
231,0.65625
232,0.625
233,0.875
234,0.6875
235,0.59375
236,0.1875
237,0.09375
238,0.25
239,0.40625
240,0.15625
241,0.34375
242,0.21875
243,0.0
244,0.09375
245,0.03125
246,0.28125
247,0.34375
248,0.625
249,0.625
250,0.59375
251,0.375
252,0.5
253,0.59375
254,0.28125
255,0.1875
256,0.28125
257,0.59375
258,0.5625
259,0.4375
260,0.53125
261,0.65625
262,0.59375
263,0.71875
264,0.84375
265,0.8125
266,0.5625
267,0.5625
268,0.46875
269,0.15625
270,0.25
271,0.09375
272,0.125
273,0.28125
274,0.375
275,0.5
276,0.65625
277,0.53125
278,0.4375
279,0.25
280,0.4375
281,0.4375
282,0.59375
283,0.625
284,0.4375
285,0.46875
286,0.4375
287,0.34375
288,0.28125
289,0.46875
290,0.03125
291,0.25
292,0.0
293,0.15625
294,0.1875
295,0.0625
296,0.0625
297,0.03125
298,0.21875
299,0.0625
300,0.28125
301,0.4375
302,0.53125
303,0.5625
304,0.53125
305,0.46875
306,0.46875
307,0.15625
308,0.1875
309,0.0625
310,0.25
311,0.59375
312,0.625
313,0.6875
314,0.46875
315,0.3125
316,0.28125
317,0.3125
318,0.21875
319,0.3125
320,0.25
321,0.1875
322,0.21875
323,0.09375
324,0.3125
325,0.25
326,0.34375
327,0.28125
328,0.3125
329,0.15625
330,0.0625
331,0.1875
332,0.1875
333,0.0625
334,0.125
335,0.25
336,0.28125
337,0.21875
338,0.125
339,0.0625
340,0.34375
341,0.375
342,0.21875
343,0.09375
344,0.125
345,0.15625
346,0.3125
347,0.125
348,0.25
349,0.21875
