,Absolute Magnetisations Per Spin
0,1.0
1,0.96875
2,0.96875
3,1.0
4,0.96875
5,1.0
6,1.0
7,1.0
8,0.96875
9,0.96875
10,0.96875
11,0.9375
12,0.9375
13,0.96875
14,0.9375
15,0.96875
16,1.0
17,0.96875
18,0.96875
19,0.96875
20,0.96875
21,0.9375
22,0.9375
23,0.90625
24,1.0
25,1.0
26,1.0
27,0.96875
28,1.0
29,1.0
30,0.9375
31,0.9375
32,0.9375
33,0.9375
34,1.0
35,1.0
36,0.96875
37,0.96875
38,0.96875
39,1.0
40,1.0
41,0.96875
42,0.96875
43,0.9375
44,1.0
45,0.96875
46,0.96875
47,0.96875
48,1.0
49,1.0
50,0.90625
51,1.0
52,0.96875
53,0.90625
54,0.84375
55,0.8125
56,0.875
57,0.96875
58,0.96875
59,0.96875
60,0.9375
61,0.875
62,0.96875
63,0.96875
64,0.96875
65,0.96875
66,1.0
67,1.0
68,1.0
69,0.9375
70,0.9375
71,1.0
72,1.0
73,1.0
74,0.96875
75,0.9375
76,0.96875
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,0.96875
83,0.96875
84,0.96875
85,0.96875
86,0.9375
87,0.875
88,0.84375
89,0.90625
90,0.96875
91,0.9375
92,0.96875
93,1.0
94,1.0
95,0.96875
96,1.0
97,1.0
98,1.0
99,1.0
100,0.96875
101,0.9375
102,0.8125
103,0.875
104,0.9375
105,0.96875
106,0.90625
107,0.96875
108,0.96875
109,1.0
110,1.0
111,1.0
112,0.96875
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,0.9375
120,0.90625
121,1.0
122,1.0
123,0.96875
124,1.0
125,1.0
126,0.96875
127,0.96875
128,1.0
129,0.9375
130,0.96875
131,0.96875
132,1.0
133,1.0
134,1.0
135,0.90625
136,1.0
137,1.0
138,0.96875
139,0.9375
140,1.0
141,1.0
142,1.0
143,1.0
144,0.9375
145,0.96875
146,0.96875
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,0.96875
153,0.96875
154,0.96875
155,0.9375
156,0.96875
157,0.96875
158,0.96875
159,0.9375
160,1.0
161,0.96875
162,0.96875
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,0.96875
169,0.96875
170,1.0
171,0.96875
172,0.9375
173,1.0
174,0.96875
175,0.9375
176,0.96875
177,0.96875
178,1.0
179,1.0
180,1.0
181,1.0
182,0.96875
183,0.90625
184,0.9375
185,0.9375
186,1.0
187,1.0
188,1.0
189,1.0
190,0.96875
191,0.96875
192,1.0
193,0.96875
194,0.96875
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,0.96875
201,0.875
202,0.90625
203,0.96875
204,0.96875
205,1.0
206,0.9375
207,0.96875
208,1.0
209,0.9375
210,0.9375
211,1.0
212,1.0
213,1.0
214,0.9375
215,0.9375
216,0.9375
217,1.0
218,1.0
219,1.0
220,0.96875
221,1.0
222,1.0
223,1.0
224,0.96875
225,0.96875
226,1.0
227,1.0
228,0.96875
229,1.0
230,0.96875
231,0.96875
232,1.0
233,0.96875
234,0.96875
235,0.96875
236,0.96875
237,0.96875
238,0.96875
239,0.96875
240,0.90625
241,0.9375
242,1.0
243,0.96875
244,1.0
245,0.9375
246,0.90625
247,0.875
248,1.0
249,1.0
250,0.9375
251,0.96875
252,0.9375
253,0.90625
254,0.90625
255,0.875
256,1.0
257,1.0
258,0.96875
259,0.9375
260,1.0
261,1.0
262,1.0
263,0.96875
264,0.9375
265,0.90625
266,0.9375
267,0.96875
268,0.9375
269,0.96875
270,0.9375
271,0.9375
272,1.0
273,1.0
274,1.0
275,1.0
276,0.90625
277,0.9375
278,1.0
279,1.0
280,1.0
281,0.96875
282,0.9375
283,0.9375
284,0.96875
285,0.9375
286,1.0
287,1.0
288,0.9375
289,1.0
290,1.0
291,0.96875
292,0.96875
293,0.96875
294,0.9375
295,0.96875
296,0.90625
297,0.875
298,0.9375
299,0.96875
300,1.0
301,1.0
302,1.0
303,1.0
304,0.96875
305,1.0
306,0.96875
307,0.9375
308,0.9375
309,0.9375
310,0.96875
311,1.0
312,1.0
313,1.0
314,0.9375
315,0.96875
316,0.96875
317,1.0
318,0.9375
319,1.0
320,1.0
321,1.0
322,0.9375
323,1.0
324,1.0
325,1.0
326,0.9375
327,0.96875
328,0.9375
329,0.90625
330,0.96875
331,0.9375
332,1.0
333,1.0
334,1.0
335,1.0
336,0.96875
337,0.96875
338,0.96875
339,0.96875
340,1.0
341,0.96875
342,0.96875
343,1.0
344,1.0
345,0.96875
346,0.9375
347,0.96875
348,0.90625
