,Absolute Magnetisations Per Spin
0,0.75
1,0.90625
2,0.84375
3,0.875
4,0.875
5,0.875
6,0.6875
7,0.75
8,0.78125
9,0.71875
10,0.71875
11,0.6875
12,0.59375
13,0.6875
14,0.78125
15,0.8125
16,0.84375
17,0.78125
18,0.8125
19,0.875
20,0.84375
21,0.8125
22,0.75
23,0.78125
24,0.59375
25,0.65625
26,0.65625
27,0.65625
28,0.28125
29,0.0625
30,0.125
31,0.1875
32,0.21875
33,0.46875
34,0.46875
35,0.5
36,0.71875
37,0.75
38,0.90625
39,0.9375
40,0.90625
41,0.9375
42,0.96875
43,0.84375
44,0.875
45,0.875
46,0.84375
47,0.90625
48,0.90625
49,0.84375
50,0.84375
51,0.71875
52,0.53125
53,0.625
54,0.65625
55,0.78125
56,0.90625
57,0.8125
58,0.75
59,0.875
60,0.875
61,0.875
62,0.8125
63,0.78125
64,0.75
65,0.90625
66,0.84375
67,0.84375
68,0.8125
69,0.875
70,0.96875
71,0.96875
72,0.8125
73,0.78125
74,0.78125
75,0.6875
76,0.75
77,0.75
78,0.84375
79,0.84375
80,0.875
81,0.875
82,0.6875
83,0.78125
84,0.8125
85,0.65625
86,0.78125
87,0.6875
88,0.8125
89,0.9375
90,0.8125
91,0.875
92,0.875
93,0.9375
94,0.8125
95,0.65625
96,0.46875
97,0.71875
98,0.65625
99,0.53125
100,0.71875
101,0.9375
102,1.0
103,1.0
104,0.90625
105,0.96875
106,0.875
107,0.84375
108,0.625
109,0.625
110,0.40625
111,0.3125
112,0.34375
113,0.125
114,0.1875
115,0.34375
116,0.4375
117,0.28125
118,0.25
119,0.15625
120,0.15625
121,0.1875
122,0.40625
123,0.40625
124,0.53125
125,0.34375
126,0.125
127,0.0625
128,0.28125
129,0.4375
130,0.5625
131,0.53125
132,0.625
133,0.8125
134,0.84375
135,0.75
136,0.84375
137,0.875
138,0.6875
139,0.6875
140,0.6875
141,0.75
142,0.8125
143,0.90625
144,0.9375
145,0.9375
146,0.875
147,0.875
148,0.8125
149,0.9375
150,0.9375
151,0.90625
152,0.71875
153,0.625
154,0.34375
155,0.28125
156,0.4375
157,0.65625
158,0.6875
159,0.78125
160,0.875
161,0.9375
162,0.90625
163,0.875
164,0.71875
165,0.90625
166,0.71875
167,0.65625
168,0.625
169,0.59375
170,0.78125
171,0.78125
172,0.875
173,0.78125
174,0.53125
175,0.65625
176,0.84375
177,0.8125
178,0.78125
179,0.6875
180,0.59375
181,0.59375
182,0.6875
183,0.875
184,0.9375
185,0.96875
186,0.9375
187,0.8125
188,0.59375
189,0.40625
190,0.5
191,0.3125
192,0.34375
193,0.21875
194,0.0625
195,0.4375
196,0.5
197,0.71875
198,0.75
199,0.71875
200,0.75
201,0.84375
202,0.71875
203,0.78125
204,0.8125
205,0.90625
206,0.75
207,0.875
208,0.9375
209,1.0
210,0.9375
211,0.90625
212,1.0
213,0.96875
214,0.9375
215,0.9375
216,0.53125
217,0.5625
218,0.78125
219,0.90625
220,0.9375
221,0.875
222,0.84375
223,0.71875
224,0.65625
225,0.53125
226,0.8125
227,0.65625
228,0.59375
229,0.5625
230,0.59375
231,0.75
232,0.84375
233,0.84375
234,0.71875
235,0.65625
236,0.6875
237,0.65625
238,0.75
239,0.65625
240,0.84375
241,0.875
242,0.875
243,0.71875
244,0.6875
245,0.6875
246,0.71875
247,0.71875
248,0.6875
249,0.59375
250,0.5625
251,0.65625
252,0.65625
253,0.28125
254,0.09375
255,0.0
256,0.28125
257,0.40625
258,0.40625
259,0.40625
260,0.3125
261,0.25
262,0.3125
263,0.59375
264,0.59375
265,0.09375
266,0.25
267,0.21875
268,0.34375
269,0.3125
270,0.1875
271,0.34375
272,0.3125
273,0.40625
274,0.4375
275,0.4375
276,0.25
277,0.375
278,0.59375
279,0.53125
280,0.4375
281,0.46875
282,0.40625
283,0.375
284,0.40625
285,0.40625
286,0.5
287,0.375
288,0.28125
289,0.375
290,0.28125
291,0.34375
292,0.40625
293,0.6875
294,0.6875
295,0.75
296,0.71875
297,0.75
298,0.65625
299,0.71875
300,0.75
301,0.65625
302,0.6875
303,0.625
304,0.65625
305,0.46875
306,0.40625
307,0.3125
308,0.21875
309,0.25
310,0.21875
311,0.21875
312,0.5625
313,0.40625
314,0.3125
315,0.21875
316,0.09375
317,0.0625
318,0.28125
319,0.21875
320,0.46875
321,0.09375
322,0.28125
323,0.28125
324,0.1875
325,0.125
326,0.1875
327,0.0
328,0.0625
329,0.21875
330,0.3125
331,0.34375
332,0.1875
333,0.0
334,0.1875
335,0.3125
336,0.15625
337,0.28125
338,0.28125
339,0.40625
340,0.5625
341,0.75
342,0.90625
343,0.875
344,0.875
345,0.78125
346,0.8125
347,0.90625
348,0.9375
349,0.96875
350,1.0
351,0.875
352,0.84375
353,0.8125
354,0.78125
355,0.875
356,0.6875
357,0.78125
358,0.75
359,0.78125
360,0.65625
361,0.40625
362,0.5
363,0.34375
364,0.46875
365,0.59375
366,0.59375
367,0.59375
368,0.5625
369,0.34375
370,0.3125
371,0.21875
372,0.03125
373,0.25
374,0.25
375,0.34375
376,0.53125
377,0.53125
378,0.78125
379,0.78125
380,0.71875
381,0.6875
382,0.375
383,0.5
384,0.78125
385,0.90625
386,0.875
387,0.84375
388,0.90625
389,0.9375
390,0.78125
391,0.71875
392,0.90625
393,1.0
394,1.0
395,0.96875
396,1.0
397,0.9375
398,0.875
399,0.9375
400,0.9375
401,0.8125
402,0.96875
403,0.875
404,0.84375
405,0.90625
406,0.65625
407,0.40625
408,0.4375
409,0.625
410,0.75
411,0.71875
412,0.8125
413,0.65625
414,0.75
415,0.84375
416,0.71875
417,0.75
418,0.71875
419,0.6875
420,0.78125
421,0.625
422,0.625
423,0.84375
424,0.875
425,0.8125
426,0.8125
427,0.875
428,0.71875
429,0.71875
430,0.6875
431,0.75
432,0.59375
433,0.40625
434,0.3125
435,0.21875
436,0.46875
