,Absolute Magnetisations Per Spin
0,0.4375
1,0.5
2,0.5
3,0.46875
4,0.65625
5,0.5
6,0.53125
7,0.53125
8,0.40625
9,0.375
10,0.21875
11,0.25
12,0.03125
13,0.21875
14,0.03125
15,0.0
16,0.03125
17,0.0625
18,0.0625
19,0.25
20,0.0625
21,0.0
22,0.3125
23,0.5625
24,0.40625
25,0.3125
26,0.25
27,0.1875
28,0.21875
29,0.34375
30,0.1875
31,0.21875
32,0.1875
33,0.25
34,0.0625
35,0.1875
36,0.25
37,0.15625
38,0.1875
39,0.375
40,0.5625
41,0.21875
42,0.46875
43,0.71875
44,0.5625
45,0.6875
46,0.78125
47,0.71875
48,0.8125
49,0.78125
50,0.59375
51,0.53125
52,0.5625
53,0.3125
54,0.34375
55,0.40625
56,0.40625
57,0.53125
58,0.34375
59,0.25
60,0.0625
61,0.125
62,0.34375
63,0.46875
64,0.46875
65,0.46875
66,0.3125
67,0.3125
68,0.0625
69,0.09375
70,0.34375
71,0.59375
72,0.625
73,0.375
74,0.4375
75,0.25
76,0.0625
77,0.25
78,0.46875
79,0.1875
80,0.25
81,0.375
82,0.40625
83,0.53125
84,0.40625
85,0.65625
86,0.53125
87,0.5
88,0.6875
89,0.40625
90,0.71875
91,0.84375
92,0.96875
93,0.875
94,0.78125
95,0.8125
96,0.71875
97,0.8125
98,0.875
99,0.84375
100,0.875
101,0.875
102,0.75
103,0.71875
104,0.375
105,0.53125
106,0.4375
107,0.25
108,0.34375
109,0.59375
110,0.53125
111,0.53125
112,0.25
113,0.21875
114,0.375
115,0.28125
116,0.4375
117,0.1875
118,0.03125
119,0.1875
120,0.25
121,0.46875
122,0.375
123,0.34375
124,0.375
125,0.4375
126,0.28125
127,0.15625
128,0.125
129,0.25
130,0.0625
131,0.15625
132,0.34375
133,0.375
134,0.34375
135,0.46875
136,0.625
137,0.6875
138,0.5625
139,0.34375
140,0.375
141,0.4375
142,0.28125
143,0.34375
144,0.5
145,0.46875
146,0.34375
147,0.5
148,0.46875
149,0.5
150,0.59375
151,0.1875
152,0.375
153,0.25
154,0.3125
155,0.40625
156,0.46875
157,0.65625
158,0.40625
159,0.34375
160,0.34375
161,0.375
162,0.4375
163,0.71875
164,0.90625
165,0.84375
166,0.6875
167,0.625
168,0.59375
169,0.59375
170,0.4375
171,0.5625
172,0.46875
173,0.5
174,0.3125
175,0.375
176,0.28125
177,0.0625
178,0.28125
179,0.25
180,0.25
181,0.28125
182,0.5
183,0.59375
184,0.5
185,0.34375
186,0.15625
187,0.03125
188,0.125
189,0.03125
190,0.0
191,0.0625
192,0.5
193,0.4375
194,0.375
195,0.625
196,0.53125
197,0.1875
198,0.28125
199,0.28125
200,0.09375
201,0.3125
202,0.375
203,0.46875
204,0.3125
205,0.34375
206,0.0625
207,0.21875
208,0.53125
209,0.5
210,0.3125
211,0.15625
212,0.03125
213,0.21875
214,0.375
215,0.3125
216,0.46875
217,0.375
218,0.53125
219,0.6875
220,0.6875
221,0.65625
222,0.84375
223,0.90625
224,0.9375
225,0.8125
226,0.65625
227,0.71875
228,0.71875
229,0.6875
230,0.84375
231,0.78125
232,0.78125
233,0.65625
234,0.625
235,0.71875
236,0.75
237,0.8125
238,0.875
239,0.90625
240,0.8125
241,0.6875
242,0.84375
243,0.65625
244,0.75
245,0.59375
246,0.6875
247,0.71875
248,0.6875
249,0.625
250,0.5
251,0.25
252,0.65625
253,0.46875
254,0.4375
255,0.46875
256,0.4375
257,0.625
258,0.65625
259,0.625
260,0.6875
261,0.5625
262,0.375
263,0.46875
264,0.59375
265,0.53125
266,0.6875
267,0.46875
268,0.34375
269,0.125
270,0.4375
271,0.25
272,0.28125
273,0.25
274,0.03125
275,0.0625
276,0.09375
277,0.03125
278,0.1875
279,0.03125
280,0.28125
281,0.375
282,0.21875
283,0.25
284,0.1875
285,0.15625
286,0.15625
287,0.0625
288,0.0625
289,0.15625
290,0.375
291,0.46875
292,0.53125
293,0.6875
294,0.75
295,0.84375
296,0.84375
297,0.875
298,0.78125
299,0.75
300,0.625
301,0.46875
302,0.34375
303,0.09375
304,0.09375
305,0.125
306,0.28125
307,0.46875
308,0.4375
