,Absolute Magnetisations Per Spin
0,0.03125
1,0.125
2,0.0625
3,0.1875
4,0.3125
5,0.5
6,0.40625
7,0.15625
8,0.5
9,0.53125
10,0.53125
11,0.40625
12,0.375
13,0.34375
14,0.5625
15,0.46875
16,0.4375
17,0.4375
18,0.34375
19,0.15625
20,0.15625
21,0.0
22,0.09375
23,0.1875
24,0.40625
25,0.4375
26,0.5
27,0.5
28,0.53125
29,0.5625
30,0.375
31,0.3125
32,0.28125
33,0.4375
34,0.34375
35,0.25
36,0.03125
37,0.3125
38,0.0625
39,0.21875
40,0.28125
41,0.375
42,0.375
43,0.84375
44,0.90625
45,0.96875
46,1.0
47,1.0
48,0.84375
49,0.8125
50,0.9375
51,1.0
52,0.90625
53,0.875
54,0.84375
55,0.71875
56,0.78125
57,0.59375
58,0.6875
59,0.90625
60,0.9375
61,0.96875
62,0.96875
63,0.96875
64,0.9375
65,0.96875
66,0.96875
67,0.90625
68,0.84375
69,0.875
70,0.96875
71,0.875
72,0.8125
73,0.78125
74,0.78125
75,0.9375
76,0.96875
77,0.96875
78,0.90625
79,0.84375
80,0.90625
81,0.90625
82,0.875
83,0.875
84,0.90625
85,0.9375
86,0.96875
87,0.96875
88,0.90625
89,0.90625
90,0.9375
91,0.875
92,0.8125
93,0.90625
94,0.875
95,0.84375
96,0.8125
97,0.84375
98,0.75
99,0.65625
100,0.59375
101,0.75
102,0.6875
103,0.46875
104,0.53125
105,0.375
106,0.21875
107,0.40625
108,0.46875
109,0.28125
110,0.3125
111,0.03125
112,0.25
113,0.1875
114,0.125
115,0.125
116,0.53125
117,0.53125
118,0.65625
119,0.84375
120,0.84375
121,0.8125
122,0.8125
123,0.625
124,0.78125
125,0.65625
126,0.6875
127,0.65625
128,0.78125
129,0.75
130,0.6875
131,0.5
132,0.59375
133,0.75
134,0.84375
135,0.9375
136,0.84375
137,0.84375
138,0.875
139,0.84375
140,0.625
141,0.59375
142,0.5625
143,0.65625
144,0.625
145,0.5625
146,0.59375
147,0.625
148,0.71875
149,0.46875
150,0.71875
151,0.75
152,0.8125
153,0.96875
154,0.9375
155,0.90625
156,0.96875
157,0.9375
158,1.0
159,0.96875
160,1.0
161,0.96875
162,0.875
163,0.78125
164,0.90625
165,0.9375
166,0.9375
167,0.75
168,0.875
169,0.8125
170,0.84375
171,0.71875
172,0.8125
173,0.90625
174,0.84375
175,0.71875
176,0.875
177,0.875
178,0.8125
179,0.84375
180,0.78125
181,0.90625
182,0.90625
183,0.84375
184,0.8125
185,0.8125
186,0.8125
187,0.65625
188,0.625
189,0.75
190,0.75
191,0.75
192,0.8125
193,0.78125
194,0.90625
195,0.90625
196,0.8125
197,0.90625
198,0.90625
199,0.96875
200,0.9375
201,0.90625
202,0.9375
203,0.90625
204,0.90625
205,0.9375
206,0.9375
207,0.875
208,0.96875
209,0.78125
210,0.875
211,0.9375
212,0.875
213,0.6875
214,0.6875
215,0.71875
216,0.78125
217,0.9375
218,0.90625
219,0.8125
220,0.96875
221,1.0
222,0.90625
223,0.8125
224,0.65625
225,0.46875
226,0.375
227,0.5625
228,0.71875
229,0.90625
230,0.6875
231,0.5
232,0.65625
233,0.53125
234,0.65625
235,0.34375
236,0.4375
237,0.25
238,0.375
239,0.65625
240,0.53125
241,0.46875
242,0.375
243,0.65625
244,0.5625
245,0.59375
246,0.59375
247,0.625
248,0.5625
249,0.5
250,0.40625
251,0.21875
252,0.375
253,0.1875
254,0.28125
255,0.4375
256,0.53125
257,0.28125
258,0.40625
259,0.46875
260,0.375
261,0.0625
262,0.46875
263,0.5625
264,0.8125
265,0.8125
266,0.8125
267,0.875
268,0.84375
269,0.875
270,0.875
271,0.65625
272,0.75
273,0.71875
274,0.65625
275,0.6875
276,0.71875
277,0.875
278,0.875
279,0.90625
280,1.0
281,0.90625
282,1.0
283,0.8125
284,0.8125
285,0.75
286,0.6875
287,0.71875
288,0.875
289,0.9375
290,0.875
291,0.90625
292,0.875
293,0.78125
294,0.875
295,0.84375
296,0.84375
297,0.75
298,0.59375
299,0.59375
300,0.84375
301,0.90625
302,0.8125
303,0.90625
304,0.84375
305,0.90625
306,0.78125
307,0.6875
308,0.65625
309,0.5625
310,0.375
311,0.03125
312,0.0625
313,0.25
314,0.28125
315,0.65625
316,0.8125
317,0.9375
318,0.9375
319,0.9375
320,0.84375
321,0.78125
322,0.9375
323,0.84375
324,0.9375
325,0.90625
326,0.875
327,0.875
328,1.0
329,0.8125
330,0.90625
331,0.9375
332,0.875
333,0.78125
334,0.8125
335,0.65625
336,0.625
337,0.625
338,0.75
339,0.96875
340,1.0
341,0.96875
342,0.96875
343,0.96875
344,0.96875
345,0.9375
346,0.78125
347,0.875
348,0.84375
349,0.8125
350,0.875
351,0.9375
352,0.8125
353,0.59375
354,0.6875
355,0.84375
356,0.8125
357,0.8125
358,0.875
359,0.90625
360,0.90625
361,0.8125
362,0.875
363,0.84375
364,0.875
365,0.90625
366,0.875
367,0.875
368,0.84375
369,0.84375
370,0.84375
371,0.78125
372,0.75
373,0.90625
374,0.8125
375,0.625
376,0.625
377,0.625
378,0.59375
379,0.75
380,0.71875
381,0.59375
382,0.6875
383,0.78125
384,0.84375
385,0.875
386,0.875
387,0.78125
388,0.90625
389,1.0
390,0.9375
391,0.90625
392,0.9375
393,1.0
394,1.0
395,0.9375
396,0.9375
397,0.90625
398,1.0
399,0.90625
400,0.71875
401,0.625
402,0.78125
403,0.75
404,0.75
405,0.8125
406,0.9375
407,0.96875
408,0.875
409,0.8125
410,0.75
411,0.59375
412,0.65625
413,0.34375
414,0.5625
415,0.09375
416,0.03125
417,0.1875
418,0.03125
419,0.09375
420,0.09375
421,0.1875
422,0.0
423,0.1875
424,0.0625
425,0.25
426,0.28125
427,0.46875
428,0.375
429,0.6875
430,0.6875
431,0.46875
432,0.46875
433,0.5
434,0.25
435,0.1875
436,0.375
437,0.28125
438,0.3125
439,0.03125
440,0.03125
441,0.25
442,0.25
443,0.25
444,0.5625
445,0.46875
446,0.46875
447,0.46875
448,0.375
449,0.21875
450,0.3125
451,0.46875
452,0.4375
453,0.28125
454,0.15625
455,0.03125
456,0.09375
457,0.21875
458,0.21875
459,0.53125
460,0.46875
461,0.34375
462,0.6875
463,0.71875
464,0.78125
465,0.78125
466,0.90625
467,0.9375
468,0.9375
469,0.90625
470,0.875
471,0.84375
472,0.8125
473,0.875
474,0.9375
475,0.84375
476,0.90625
477,0.75
478,0.65625
479,0.71875
480,0.75
481,0.71875
482,0.875
483,0.84375
484,0.8125
485,0.84375
