,Absolute Magnetisations Per Spin
0,0.90625
1,0.96875
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,0.96875
8,0.96875
9,0.96875
10,0.96875
11,1.0
12,0.96875
13,0.9375
14,0.96875
15,0.9375
16,0.9375
17,0.96875
18,0.90625
19,0.9375
20,0.90625
21,0.90625
22,0.875
23,0.875
24,0.90625
25,0.84375
26,0.84375
27,0.84375
28,0.875
29,0.90625
30,0.875
31,0.90625
32,0.84375
33,0.96875
34,0.875
35,0.84375
36,0.96875
37,0.9375
38,1.0
39,1.0
40,1.0
41,0.9375
42,0.96875
43,0.96875
44,1.0
45,0.96875
46,0.96875
47,0.96875
48,1.0
49,1.0
50,0.96875
51,1.0
52,0.9375
53,0.75
54,0.9375
55,0.96875
56,1.0
57,0.90625
58,0.96875
59,0.9375
60,0.96875
61,0.96875
62,0.96875
63,0.96875
64,0.96875
65,0.9375
66,0.9375
67,0.9375
68,0.9375
69,0.96875
70,0.9375
71,0.96875
72,1.0
73,0.9375
74,0.90625
75,0.8125
76,0.75
77,0.75
78,0.875
79,0.96875
80,0.9375
81,0.96875
82,0.96875
83,1.0
84,0.90625
85,0.875
86,0.84375
87,0.90625
88,0.8125
89,0.875
90,0.90625
91,1.0
92,1.0
93,1.0
94,0.96875
95,1.0
96,0.96875
97,1.0
98,0.9375
99,1.0
100,1.0
101,0.96875
102,0.96875
103,1.0
104,1.0
105,0.96875
106,1.0
107,0.96875
108,0.9375
109,0.96875
110,0.96875
111,0.96875
112,1.0
113,0.9375
114,0.9375
115,0.9375
116,0.90625
117,0.90625
118,0.84375
119,0.9375
120,0.9375
121,0.875
122,0.875
123,0.875
124,0.90625
125,1.0
126,0.96875
127,0.96875
128,0.9375
129,0.96875
130,0.96875
131,0.9375
132,1.0
133,0.9375
134,0.96875
135,0.96875
136,1.0
137,1.0
138,1.0
139,0.96875
140,0.96875
141,0.90625
142,0.875
143,1.0
144,1.0
145,1.0
146,0.96875
147,1.0
148,1.0
149,0.9375
150,0.96875
151,1.0
152,0.96875
153,0.9375
154,0.9375
155,0.90625
156,0.875
157,0.875
158,0.9375
159,0.96875
160,0.9375
161,0.8125
162,0.875
163,0.78125
164,0.875
165,1.0
166,0.96875
167,1.0
168,0.9375
169,0.90625
170,0.9375
171,0.96875
172,0.96875
173,0.96875
174,0.9375
175,0.96875
176,0.9375
177,0.90625
178,0.96875
179,0.9375
180,0.9375
181,0.96875
182,0.96875
183,0.96875
184,0.9375
185,1.0
186,0.96875
187,0.96875
188,1.0
189,0.96875
190,1.0
191,0.96875
192,0.9375
193,0.96875
194,0.9375
195,0.96875
196,0.9375
197,0.9375
198,0.90625
199,0.90625
200,0.9375
201,0.9375
202,0.9375
203,1.0
204,1.0
205,0.96875
206,0.96875
207,0.90625
208,0.90625
209,0.9375
210,1.0
211,0.90625
212,0.96875
213,0.9375
214,0.9375
215,1.0
216,0.96875
217,0.8125
218,0.96875
219,0.9375
220,0.90625
221,0.96875
222,0.90625
223,0.8125
224,0.875
225,0.84375
226,0.875
227,0.84375
228,0.84375
229,0.84375
230,0.96875
231,0.96875
232,0.9375
233,0.9375
234,0.9375
235,0.96875
236,0.96875
237,0.9375
238,0.96875
239,0.96875
240,0.90625
241,0.90625
242,0.84375
243,0.90625
244,1.0
245,0.90625
246,0.90625
247,0.96875
