,Absolute Magnetisations Per Spin
0,0.40625
1,0.34375
2,0.40625
3,0.3125
4,0.25
5,0.1875
6,0.03125
7,0.15625
8,0.3125
9,0.3125
10,0.5
11,0.5625
12,0.5625
13,0.65625
14,0.4375
15,0.28125
16,0.15625
17,0.25
18,0.125
19,0.03125
20,0.0625
21,0.125
22,0.09375
23,0.21875
24,0.3125
25,0.5
26,0.53125
27,0.34375
28,0.34375
29,0.3125
30,0.375
31,0.21875
32,0.21875
33,0.21875
34,0.0625
35,0.09375
36,0.0625
37,0.1875
38,0.1875
39,0.3125
40,0.40625
41,0.125
42,0.21875
43,0.0
44,0.03125
45,0.0
46,0.375
47,0.09375
48,0.125
49,0.03125
50,0.21875
51,0.4375
52,0.1875
53,0.375
54,0.53125
55,0.46875
56,0.4375
57,0.46875
58,0.34375
59,0.34375
60,0.375
61,0.40625
62,0.28125
63,0.28125
64,0.4375
65,0.5625
66,0.75
67,0.75
68,0.625
69,0.5
70,0.53125
71,0.5625
72,0.53125
73,0.8125
74,0.65625
75,0.625
76,0.625
77,0.6875
78,0.75
79,0.6875
80,0.5625
81,0.59375
82,0.65625
83,0.65625
84,0.59375
85,0.40625
86,0.40625
87,0.28125
88,0.28125
89,0.0625
90,0.03125
91,0.28125
92,0.46875
93,0.5625
94,0.59375
95,0.5625
96,0.4375
97,0.34375
98,0.28125
99,0.65625
100,0.75
101,0.53125
102,0.5
103,0.78125
104,0.625
105,0.5625
106,0.46875
107,0.625
108,0.5
109,0.875
110,0.71875
111,0.625
112,0.78125
113,0.84375
114,0.8125
115,0.75
116,0.625
117,0.625
118,0.59375
119,0.53125
120,0.34375
121,0.5625
122,0.3125
123,0.3125
124,0.3125
125,0.375
126,0.375
127,0.40625
128,0.65625
129,0.59375
130,0.46875
131,0.53125
132,0.53125
133,0.78125
134,0.84375
135,0.9375
136,0.84375
137,0.875
138,0.78125
139,0.65625
140,0.6875
141,0.78125
142,0.5
143,0.5
144,0.3125
145,0.40625
146,0.3125
147,0.75
148,0.84375
149,0.875
150,0.6875
151,0.65625
152,0.40625
153,0.6875
154,0.90625
155,0.90625
156,0.84375
157,0.625
158,0.625
159,0.40625
160,0.375
161,0.4375
162,0.40625
163,0.25
164,0.46875
165,0.46875
166,0.4375
167,0.75
168,0.65625
169,0.46875
170,0.46875
171,0.78125
172,0.75
173,0.75
174,0.84375
