,Absolute Magnetisations Per Spin
0,0.125
1,0.0625
2,0.03125
3,0.15625
4,0.25
5,0.28125
6,0.53125
7,0.375
8,0.25
9,0.28125
10,0.1875
11,0.25
12,0.46875
13,0.40625
14,0.59375
15,0.71875
16,0.71875
17,0.5
18,0.46875
19,0.5625
20,0.40625
21,0.34375
22,0.28125
23,0.09375
24,0.375
25,0.46875
26,0.0
27,0.25
28,0.1875
29,0.0
30,0.28125
31,0.25
32,0.03125
33,0.1875
34,0.09375
35,0.09375
36,0.125
37,0.0625
38,0.0625
39,0.0
40,0.09375
41,0.15625
42,0.125
43,0.21875
44,0.28125
45,0.40625
46,0.375
47,0.28125
48,0.0
49,0.28125
50,0.09375
51,0.21875
52,0.28125
53,0.15625
54,0.03125
55,0.03125
56,0.4375
57,0.53125
58,0.25
59,0.34375
60,0.28125
61,0.3125
62,0.28125
63,0.34375
64,0.53125
65,0.375
66,0.3125
67,0.25
68,0.1875
69,0.15625
70,0.03125
71,0.0
72,0.1875
73,0.125
74,0.03125
75,0.125
76,0.34375
77,0.21875
78,0.125
79,0.125
80,0.1875
81,0.03125
82,0.21875
83,0.1875
84,0.03125
85,0.09375
86,0.0625
87,0.34375
88,0.25
89,0.25
90,0.34375
91,0.3125
92,0.0625
93,0.03125
94,0.0625
95,0.0
96,0.15625
97,0.0625
98,0.0
99,0.03125
100,0.3125
101,0.40625
102,0.28125
103,0.3125
104,0.1875
105,0.4375
106,0.65625
107,0.5625
108,0.3125
109,0.1875
110,0.0
111,0.0625
112,0.1875
113,0.03125
114,0.0
115,0.28125
116,0.15625
117,0.28125
118,0.125
119,0.0
120,0.0625
121,0.25
122,0.09375
123,0.09375
124,0.3125
125,0.21875
126,0.40625
127,0.4375
128,0.40625
129,0.40625
130,0.5
131,0.3125
132,0.34375
133,0.375
134,0.125
135,0.375
136,0.59375
137,0.59375
138,0.5
139,0.1875
140,0.0
141,0.125
142,0.15625
143,0.03125
144,0.0625
145,0.03125
146,0.25
147,0.34375
148,0.25
149,0.5
150,0.34375
151,0.03125
152,0.1875
153,0.03125
154,0.0625
155,0.1875
156,0.09375
157,0.3125
158,0.375
159,0.1875
160,0.09375
161,0.0
162,0.03125
163,0.09375
164,0.21875
165,0.125
166,0.0625
167,0.0625
168,0.0625
169,0.03125
170,0.09375
171,0.0625
172,0.21875
173,0.34375
174,0.4375
175,0.21875
176,0.125
177,0.1875
178,0.03125
179,0.25
180,0.25
181,0.0625
182,0.09375
183,0.1875
184,0.03125
185,0.125
186,0.5
187,0.46875
188,0.53125
189,0.53125
190,0.4375
191,0.5
192,0.53125
193,0.65625
194,0.59375
195,0.46875
196,0.53125
197,0.34375
198,0.28125
199,0.53125
200,0.3125
201,0.28125
202,0.1875
203,0.3125
204,0.0625
205,0.0625
206,0.15625
207,0.28125
208,0.25
209,0.0625
210,0.03125
211,0.03125
212,0.21875
213,0.0
214,0.0
215,0.125
216,0.0
217,0.03125
218,0.0
219,0.3125
220,0.1875
221,0.5625
222,0.5
223,0.28125
224,0.40625
225,0.34375
226,0.53125
227,0.65625
228,0.6875
229,0.9375
230,0.9375
231,0.875
232,0.875
233,0.65625
234,0.75
235,0.65625
236,0.6875
237,0.75
238,0.78125
239,0.65625
240,0.4375
241,0.4375
242,0.34375
243,0.15625
244,0.15625
245,0.0625
246,0.0
247,0.1875
248,0.0625
249,0.03125
250,0.0
251,0.0625
252,0.1875
253,0.375
254,0.375
255,0.3125
256,0.65625
257,0.46875
258,0.59375
259,0.5
260,0.5625
261,0.53125
262,0.53125
263,0.375
264,0.25
265,0.03125
266,0.0
267,0.15625
268,0.21875
269,0.40625
