,Absolute Magnetisations Per Spin
0,1.0
1,0.96875
2,1.0
3,0.96875
4,0.96875
5,0.96875
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,0.96875
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,0.96875
30,1.0
31,1.0
32,1.0
33,1.0
34,0.96875
35,0.90625
36,0.96875
37,0.96875
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,0.96875
50,1.0
51,1.0
52,0.9375
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,0.90625
63,0.9375
64,0.96875
65,1.0
66,1.0
67,1.0
68,0.96875
69,0.9375
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,0.96875
77,0.96875
78,0.9375
79,0.84375
80,0.90625
81,0.9375
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,0.96875
91,0.96875
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,0.9375
103,0.875
104,0.875
105,0.9375
106,1.0
107,1.0
108,1.0
109,0.96875
110,0.96875
111,0.96875
112,0.96875
113,0.96875
114,0.96875
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,0.96875
123,0.96875
124,1.0
125,1.0
126,1.0
127,0.96875
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,0.96875
142,0.96875
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,0.96875
155,0.96875
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,0.96875
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,0.96875
169,0.90625
170,0.96875
171,0.90625
172,0.9375
173,0.9375
174,0.9375
175,0.90625
176,0.96875
177,0.96875
178,0.875
179,0.9375
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,0.9375
187,0.96875
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,0.90625
195,0.90625
196,0.96875
197,0.96875
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,0.90625
205,0.9375
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,0.96875
215,1.0
216,0.96875
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,0.96875
223,0.96875
224,1.0
225,0.96875
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,0.96875
235,0.96875
236,0.9375
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,0.96875
246,0.96875
247,1.0
248,1.0
249,0.96875
250,0.96875
251,0.96875
252,0.96875
253,1.0
254,1.0
255,0.96875
256,0.96875
257,0.96875
258,0.9375
259,0.96875
260,1.0
261,0.96875
262,0.96875
263,1.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,0.90625
273,0.96875
274,0.96875
275,1.0
276,1.0
277,1.0
278,0.9375
279,0.9375
280,0.96875
281,0.96875
282,0.96875
283,1.0
284,1.0
285,1.0
286,1.0
287,1.0
288,1.0
289,1.0
290,1.0
291,1.0
292,0.9375
293,1.0
294,1.0
295,1.0
296,0.96875
297,1.0
298,0.96875
299,0.96875
300,1.0
301,1.0
302,1.0
303,0.96875
304,1.0
305,1.0
306,1.0
307,1.0
308,1.0
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,1.0
315,1.0
316,1.0
317,1.0
318,1.0
319,0.96875
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,0.96875
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,0.96875
339,0.9375
340,0.9375
341,0.96875
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,1.0
350,1.0
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,0.96875
361,0.96875
362,0.96875
363,0.90625
364,0.9375
