,Absolute Magnetisations Per Spin
0,0.4375
1,0.59375
2,0.5
3,0.4375
4,0.59375
5,0.84375
6,0.84375
7,1.0
8,0.375
9,0.59375
10,0.875
11,0.28125
12,0.40625
13,0.875
14,0.1875
15,0.5625
16,0.40625
17,0.84375
18,0.6875
19,0.75
20,0.8125
21,0.59375
22,0.6875
23,0.40625
24,0.90625
25,0.59375
26,0.46875
27,0.71875
28,0.75
29,0.78125
30,0.71875
31,0.75
32,0.5625
33,0.5625
34,0.65625
35,0.75
36,0.25
37,0.46875
38,0.65625
39,0.625
40,0.90625
41,1.0
42,0.34375
43,0.53125
44,0.84375
45,0.53125
46,0.9375
47,0.84375
48,0.84375
49,0.28125
50,0.875
51,0.90625
52,0.03125
53,0.25
54,0.1875
55,0.84375
56,0.65625
57,0.9375
58,0.28125
59,0.8125
60,0.375
61,0.90625
62,0.71875
63,0.59375
64,0.96875
65,0.8125
66,0.90625
67,0.5625
68,0.875
69,0.0
70,0.875
71,0.875
72,0.90625
73,0.78125
74,0.15625
75,0.875
76,0.46875
77,0.375
78,0.4375
79,0.78125
80,0.96875
81,0.25
82,0.25
83,0.90625
84,0.34375
85,0.4375
86,0.0
87,0.21875
88,0.53125
89,0.71875
90,0.75
91,0.84375
92,0.78125
93,0.96875
94,0.6875
95,0.65625
96,0.34375
97,0.25
98,0.78125
99,0.90625
100,0.8125
101,0.875
102,0.8125
103,0.78125
104,0.75
105,0.78125
106,0.6875
107,0.90625
108,0.78125
109,0.8125
110,0.84375
111,0.90625
112,0.875
113,0.875
114,0.59375
115,0.8125
116,0.84375
117,0.9375
118,0.65625
119,0.375
120,0.3125
121,0.78125
122,0.25
123,0.09375
124,0.15625
125,0.84375
126,0.90625
127,0.90625
128,0.9375
129,0.625
130,0.84375
131,0.96875
132,0.78125
133,0.875
134,0.90625
135,0.71875
136,0.90625
137,0.84375
138,0.75
139,0.96875
140,0.875
141,0.15625
142,0.625
143,0.90625
144,0.3125
145,0.125
146,0.75
147,0.625
148,1.0
149,0.875
150,0.84375
151,0.875
152,0.78125
153,0.75
154,0.40625
155,0.6875
156,0.34375
157,0.84375
158,0.90625
159,0.6875
160,0.5
161,0.15625
162,0.28125
163,0.625
164,0.78125
165,0.6875
166,0.375
167,0.90625
168,0.6875
169,0.90625
170,0.78125
171,0.78125
172,0.90625
173,0.65625
174,0.78125
175,0.59375
176,0.9375
177,0.5
178,0.6875
179,0.875
180,0.1875
181,0.46875
182,0.09375
183,0.75
184,0.90625
185,0.75
186,0.5625
187,0.40625
188,0.4375
189,0.875
190,0.375
191,0.25
192,0.03125
193,0.84375
194,0.875
195,0.65625
196,0.71875
197,0.78125
198,0.84375
199,0.25
200,0.90625
201,0.65625
202,0.46875
203,0.0625
204,0.5625
205,0.78125
206,0.6875
207,0.09375
208,0.5
209,0.375
210,0.71875
211,0.53125
212,0.78125
213,0.78125
214,0.875
215,0.71875
216,0.625
217,0.09375
218,0.09375
219,0.21875
220,0.8125
221,0.8125
222,0.875
223,0.75
224,0.5625
225,0.21875
226,0.5
227,0.90625
228,0.75
229,0.90625
230,0.96875
231,0.6875
232,0.96875
233,0.75
234,0.78125
235,0.6875
236,0.4375
237,0.9375
238,0.78125
239,0.625
240,0.40625
241,0.53125
242,0.96875
243,0.8125
244,0.8125
245,0.90625
246,0.71875
247,0.75
248,0.46875
249,0.53125
250,0.375
251,0.96875
252,0.78125
253,0.875
254,0.4375
255,0.875
256,0.75
257,0.59375
258,0.375
259,0.375
260,0.84375
261,0.875
262,0.75
263,0.40625
264,0.28125
265,0.53125
266,0.78125
267,0.90625
268,0.59375
269,0.71875
270,0.9375
271,1.0
272,0.71875
273,0.96875
274,0.90625
275,0.8125
276,0.90625
277,0.53125
278,0.5
279,0.8125
280,0.9375
281,0.90625
282,0.90625
283,0.875
284,0.625
285,0.75
286,0.84375
287,0.625
288,0.96875
289,0.9375
290,0.65625
291,0.59375
292,0.84375
293,0.90625
294,0.78125
295,0.9375
296,0.59375
297,0.5
298,0.3125
299,0.75
300,0.6875
301,0.5625
302,0.875
303,0.78125
304,0.53125
305,0.875
306,0.375
307,0.875
308,0.84375
309,0.78125
310,0.71875
311,0.90625
312,0.90625
313,0.6875
314,0.96875
315,0.4375
316,0.3125
317,0.65625
318,0.84375
319,0.40625
320,0.375
321,0.625
322,0.53125
323,0.0625
324,0.125
325,0.40625
326,0.03125
327,0.9375
328,0.84375
329,0.5625
330,0.4375
331,1.0
332,0.53125
333,0.28125
334,0.09375
335,0.6875
336,0.59375
337,0.375
338,0.5
339,0.84375
340,0.875
341,0.9375
342,0.875
343,0.1875
344,0.65625
345,0.625
346,0.875
347,0.53125
348,0.90625
