0 0 -1.000000
0 1 -1.000000
0 2 -1.000000
0 3 -1.000000
0 4 1.000000
0 5 -1.000000
0 6 -1.000000
0 7 -1.000000
1 0 -1.000000
1 1 -1.000000
1 2 -1.000000
1 3 -1.000000
1 4 -1.000000
1 5 -1.000000
1 6 -1.000000
1 7 -1.000000
2 0 -1.000000
2 1 -1.000000
2 2 -1.000000
2 3 -1.000000
2 4 -1.000000
2 5 -1.000000
2 6 -1.000000
2 7 -1.000000
3 0 -1.000000
3 1 -1.000000
3 2 -1.000000
3 3 -1.000000
3 4 -1.000000
3 5 -1.000000
3 6 -1.000000
3 7 -1.000000
4 0 -1.000000
4 1 -1.000000
4 2 -1.000000
4 3 -1.000000
4 4 -1.000000
4 5 -1.000000
4 6 -1.000000
4 7 -1.000000
5 0 -1.000000
5 1 -1.000000
5 2 -1.000000
5 3 -1.000000
5 4 -1.000000
5 5 -1.000000
5 6 -1.000000
5 7 -1.000000
6 0 -1.000000
6 1 -1.000000
6 2 -1.000000
6 3 -1.000000
6 4 -1.000000
6 5 -1.000000
6 6 -1.000000
6 7 -1.000000
7 0 -1.000000
7 1 -1.000000
7 2 -1.000000
7 3 -1.000000
7 4 1.000000
7 5 -1.000000
7 6 -1.000000
7 7 -1.000000
0 0 1.000000
0 1 1.000000
0 2 1.000000
0 3 1.000000
0 4 1.000000
0 5 1.000000
0 6 1.000000
0 7 1.000000
1 0 1.000000
1 1 1.000000
1 2 1.000000
1 3 1.000000
1 4 1.000000
1 5 1.000000
1 6 1.000000
1 7 1.000000
2 0 -1.000000
2 1 -1.000000
2 2 1.000000
2 3 1.000000
2 4 1.000000
2 5 -1.000000
2 6 -1.000000
2 7 1.000000
3 0 1.000000
3 1 -1.000000
3 2 1.000000
3 3 1.000000
3 4 1.000000
3 5 -1.000000
3 6 -1.000000
3 7 1.000000
4 0 1.000000
4 1 -1.000000
4 2 1.000000
4 3 1.000000
4 4 1.000000
4 5 1.000000
4 6 1.000000
4 7 -1.000000
5 0 1.000000
5 1 -1.000000
5 2 1.000000
5 3 1.000000
5 4 1.000000
5 5 1.000000
5 6 1.000000
5 7 -1.000000
6 0 1.000000
6 1 1.000000
6 2 1.000000
6 3 1.000000
6 4 1.000000
6 5 1.000000
6 6 1.000000
6 7 -1.000000
7 0 1.000000
7 1 1.000000
7 2 1.000000
7 3 1.000000
7 4 1.000000
7 5 1.000000
7 6 1.000000
7 7 -1.000000
